# #5g 実装直前版 vs 現行 gg (case/48)
- old: case/48.flat_plate_cooled_m4/run_0958_sglsq_s2_base36d8_ext
- new: case/48.flat_plate_cooled_m4/run_0952_sglsq_s2_gg_ext

## (1) 残差床比 f_old/f_new (延長段 末尾 20 % の |値| 平均、許容 [2/3, 1.5])
| 列 | f_old | f_new | 比 | 判定 |
| --- | --- | --- | --- | --- |
| rms_ro | 2.004e-07 | 2.026e-07 | 0.989 | ok |
| rms_roK | 5.012e-05 | 4.589e-05 | 1.092 | ok |
| rms_roOmega | 2.347e+00 | 2.239e+00 | 1.048 | ok |
| rms_roUx | 2.788e-04 | 2.814e-04 | 0.991 | ok |
| rms_roUy | 1.341e-04 | 1.343e-04 | 0.998 | ok |
| rms_roUz | 0 | 0 | - | 両方非活動 |
| rms_roe | 2.469e-01 | 2.483e-01 | 0.994 | ok |

## (2) 物理量 (延長段 step 12000–24000 の平均、旧版を分母、許容 0.1 %)
old snapshots ['res_12000.h5', 'res_14000.h5', 'res_16000.h5', 'res_18000.h5', 'res_20000.h5', 'res_22000.h5', 'res_24000.h5']
new snapshots ['res_12000.h5', 'res_14000.h5', 'res_16000.h5', 'res_18000.h5', 'res_20000.h5', 'res_22000.h5', 'res_24000.h5']
| x | 量 | old 平均 | new 平均 | 相対差 % | old 変動 % | new 変動 % | 判定 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0.3 | Cf | 2.333437e-03 | 2.333483e-03 | +0.0019 | 0.0014 | 0.0037 | ok |
| 0.3 | qw | 1.061125e+05 | 1.061145e+05 | +0.0019 | 0.0039 | 0.0075 | ok |
| 0.3 | dstar | 1.967171e-03 | 1.967186e-03 | +0.0008 | 0.0099 | 0.0134 | ok |
| 0.3 | theta | 4.074570e-04 | 4.074650e-04 | +0.0019 | 0.0164 | 0.0162 | ok |
| 0.6 | Cf | 2.096252e-03 | 2.096250e-03 | -0.0001 | 0.0018 | 0.0023 | ok |
| 0.6 | qw | 9.521672e+04 | 9.521614e+04 | -0.0006 | 0.0030 | 0.0058 | ok |
| 0.6 | dstar | 3.417606e-03 | 3.416816e-03 | -0.0231 | 0.0861 | 0.0875 | ok |
| 0.6 | theta | 7.346933e-04 | 7.346958e-04 | +0.0003 | 0.0043 | 0.0055 | ok |
| 0.9 | Cf | 1.971363e-03 | 1.971352e-03 | -0.0006 | 0.0027 | 0.0024 | ok |
| 0.9 | qw | 8.949276e+04 | 8.949178e+04 | -0.0011 | 0.0060 | 0.0051 | ok |
| 0.9 | dstar | 4.772925e-03 | 4.772899e-03 | -0.0005 | 0.0022 | 0.0023 | ok |
| 0.9 | theta | 1.033414e-03 | 1.033406e-03 | -0.0007 | 0.0020 | 0.0018 | ok |

VERDICT #5g (1)(2): 条件 (1)(2) 成立  — (3) の STEADY・物理ゲート・NaN/RISING と、旧版が起点床を外れるかは別出力で確認して A/B を決める
