# #5h(b) FCT smoke の nSub 15→30 感度
- gg15 case/16.nozzle_wys/run_0954_sglsq_s2_fct_gg
- lsq15 case/16.nozzle_wys/run_0955_sglsq_s2_fct_lsq
- gg30 case/16.nozzle_wys/run_0958_sglsq_s2_fct_gg_nsub30
- lsq30 case/16.nozzle_wys/run_0959_sglsq_s2_fct_lsq_nsub30
| 時刻 | q | D_q = ‖lsq15−gg15‖∞ | E_q = ‖gg30−gg15‖∞+‖lsq30−lsq15‖∞ | E/D | 判定 (E < 0.1 D) |
| --- | --- | --- | --- | --- | --- |
| 100 | ro | 3.278e-05 | 6.604e-05 | 2.015 | NG |
| 100 | roUx | 1.154e-02 | 2.403e-02 | 2.082 | NG |
| 100 | roUy | 2.246e-02 | 4.537e-02 | 2.020 | NG |
| 100 | roe | 1.561e+00 | 3.645e+00 | 2.335 | NG |
| 100 | roY0 | 7.445e-06 | 1.555e-06 | 0.209 | NG |
| 100 | roY1 | 2.143e-05 | 4.303e-05 | 2.008 | NG |
| 100 | roY2 | 8.017e-06 | 1.605e-05 | 2.002 | NG |
| 100 | roY3 | 3.655e-07 | 7.343e-07 | 2.009 | NG |
| 100 | roY4 | 2.488e-06 | 5.014e-06 | 2.015 | NG |
| 100 | roXi | 2.474e-06 | 2.801e-06 | 1.133 | NG |
| 200 | ro | 3.374e-05 | 6.664e-05 | 1.975 | NG |
| 200 | roUx | 1.139e-02 | 2.377e-02 | 2.086 | NG |
| 200 | roUy | 2.253e-02 | 4.578e-02 | 2.032 | NG |
| 200 | roe | 1.631e+00 | 3.650e+00 | 2.238 | NG |
| 200 | roY0 | 6.895e-06 | 1.576e-06 | 0.229 | NG |
| 200 | roY1 | 2.223e-05 | 4.360e-05 | 1.961 | NG |
| 200 | roY2 | 8.091e-06 | 1.603e-05 | 1.982 | NG |
| 200 | roY3 | 3.856e-07 | 7.371e-07 | 1.912 | NG |
| 200 | roY4 | 2.559e-06 | 5.037e-06 | 1.968 | NG |
| 200 | roXi | 2.950e-06 | 5.066e-06 | 1.717 | NG |

VERDICT #5h(b) 感度: B (感度条件不成立)
