step,onset_mm,dev_pct,dev21_pct,dev42_pct,dev52_pct,g_exit,M_exit,c_exit,h0err_kJkg
4000,23.227543,1.4495042,-4.9642685,4.682461,4.1995542,0.010870807,1.6515397,288.50891,0.29358789
8000,23.227526,2.3309323,-4.9613047,5.4384956,5.3296358,0.010860988,1.6360751,289.38974,0.29461035
12000,23.227633,2.4289249,-4.9607673,5.505178,5.4492524,0.010858871,1.633919,289.51337,0.29463574
16000,23.22761,2.4533838,-4.9603884,5.5202915,5.4790061,0.010858646,1.6334027,289.5451,0.29448241
20000,23.227573,2.462523,-4.9605948,5.5245853,5.4891829,0.010858362,1.6332083,289.55423,0.29446679
24000,23.227045,2.4660412,-4.9607892,5.5256772,5.4926466,0.010859239,1.633128,289.55917,0.294792
28000,23.227388,2.4675071,-4.9609566,5.5262485,5.4939994,0.010859217,1.6330768,289.56216,0.29448438
32000,23.227119,2.4680685,-4.9610093,5.5264343,5.4943046,0.010859006,1.6330376,289.56525,0.29462695
36000,23.226963,2.468104,-4.9610854,5.5264433,5.4944939,0.010859145,1.6330453,289.56406,0.294792
40000,23.227312,2.4682388,-4.961092,5.5264294,5.4945765,0.010858258,1.6330261,289.56516,0.29454297
44000,23.2272,2.4682747,-4.9611216,5.5264416,5.4945669,0.010858885,1.6330426,289.56415,0.29487109
48000,23.227081,2.4683078,-4.9611168,5.5263891,5.4945968,0.010859177,1.6330384,289.56424,0.29455078
