step,onset_mm,dev_pct,dev21_pct,dev42_pct,dev52_pct,g_exit,M_exit,c_exit,h0err_kJkg
4000,23.227207,1.4490487,-4.9647788,4.6824678,4.1979593,0.010870993,1.6515504,288.50848,0.29377344
8000,23.22723,2.3306768,-4.9617201,5.4391411,5.3286286,0.010860416,1.6360618,289.39175,0.29460156
12000,23.227369,2.4287035,-4.9611443,5.5058846,5.448367,0.010859715,1.6339428,289.51144,0.294458
16000,23.227217,2.4530686,-4.960797,5.5208328,5.478008,0.01085863,1.6334102,289.54468,0.29466307
20000,23.227034,2.4622876,-4.9609715,5.5252639,5.4883724,0.010859343,1.6332575,289.55219,0.29453516
24000,23.226894,2.4658114,-4.9611635,5.5264092,5.4917732,0.010858897,1.6331438,289.5585,0.29455665
28000,23.226812,2.4672464,-4.9613812,5.5269515,5.4930523,0.010858435,1.6330419,289.5665,0.29454198
32000,23.226774,2.4678319,-4.9614175,5.5271256,5.4934409,0.010859155,1.63306,289.56348,0.29454979
36000,23.226885,2.4678863,-4.9614485,5.5271355,5.4935663,0.010858354,1.6330156,289.56723,0.29442382
40000,23.226652,2.4679793,-4.9615131,5.5271205,5.4936515,0.010858803,1.6330446,289.56305,0.29468653
44000,23.226765,2.4680534,-4.961525,5.5270891,5.4936412,0.010858214,1.6330032,289.56766,0.29459667
48000,23.22673,2.4680486,-4.9615347,5.5270276,5.4936408,0.010858444,1.633022,289.56625,0.29465038
