step,Cf_x05,Cf_x2,Cf_x6,xr_h,r_gradu,r_gradk,r_gradw,dF1_inf,dF1_l2,xr_gradu,xr_gradk,xr_gradw
10000,-0.007396287071705109,-0.004538722250163458,0.0003933831050304565,5.034040964793385,0.997367058133564,0.9844988400110111,0.9999981448860449,0.03350891162819525,0.0019490633608602115,0.9363085390997028,0.9921282964188584,1.0010225459976336
20000,-0.007396251804051352,-0.004538561148391479,0.00039324064864569114,5.034339873788447,0.9973725039865721,0.9844976713514862,0.9999981464850061,0.03353774589955527,0.001949304029383808,0.9363082242193207,0.9921295952690503,1.001022525055502
30000,-0.007396219936852893,-0.00453850261022916,0.00039316579669194577,5.034426332210777,0.9973732343991379,0.9844893023983957,0.9999981783397033,0.03351560396819542,0.0019500250184725466,0.9363089953727979,0.9921294695119708,1.0010225570235758
40000,-0.007396205966992485,-0.0045385123563796625,0.0003931439586993998,5.0344002430517385,0.9973707829600417,0.9844857303867365,0.9999981870125932,0.033522193662608,0.0019502642863157037,0.936308348989742,0.99212962143116,1.0010225415302019
50000,-0.007396220368143299,-0.004538490525226881,0.0003931686998039903,5.034406355620243,0.9973693653418183,0.9844850542269535,0.9999981789001887,0.03354672702032768,0.0019502863540269985,0.936307716012017,0.9921294312878326,1.001022565779349
60000,-0.007396209578726238,-0.004538493859476532,0.0003931771303437853,5.0344129736565835,0.9973686275174105,0.9844887943398778,0.999998142365557,0.03352690634117461,0.0019496516475549749,0.936308438496618,0.9921292053800407,1.0010225208787813
70000,-0.007396201165896554,-0.00453847421116174,0.00039319022334549934,5.0343576999055974,0.9973679731068795,0.9844860075530617,0.9999981817455537,0.0335166279827962,0.0019503263216375164,0.9363093397333031,0.9921292280669148,1.0010225495938743
80000,-0.007396175196639057,-0.004538494829710005,0.00039317680033373805,5.034375389440267,0.9973677984870325,0.9844843497098834,0.9999981626414656,0.03350278878679114,0.00195060511425695,0.9363089885047008,0.9921293228541513,1.00102252710069
90000,-0.007396207759226989,-0.0045384818063992785,0.00039316528525990647,5.034366841616768,0.9973679582469847,0.9844857825923562,0.9999981304815074,0.033505391181457234,0.001950763604496763,0.9363086519834056,0.9921292292477721,1.0010225319292203
100000,-0.007396208757775985,-0.004538473459668586,0.000393178050916022,5.034357842628179,0.9973679027686851,0.9844864443424687,0.9999981472248423,0.033505510855538656,0.001950633394562734,0.9363082982018939,0.9921291076685556,1.0010225417641156
110000,-0.007396203133191567,-0.004538478486913964,0.0003931683503776478,5.034336528265481,0.9973676858470336,0.9844849543769746,0.9999981646169072,0.033509924106791655,0.0019508331885810264,0.9363086321534703,0.9921291600226867,1.001022561995331
120000,-0.007396202432688546,-0.004538472377931835,0.0003931958604431919,5.034328555627058,0.9973676813247044,0.9844844991402869,0.999998179234231,0.03351214528087376,0.0019509118512842536,0.9363088851887313,0.9921292344935205,1.0010225509640007
130000,-0.007396218223574086,-0.004538490590448492,0.00039317217964586937,5.034353163883734,0.9973681581108932,0.9844852343681297,0.9999981639091697,0.03351454746223703,0.0019505971106508905,0.9363086547929066,0.9921290163423649,1.0010225714850214
140000,-0.007396213828023289,-0.004538483819063619,0.0003931956114061775,5.034361745934133,0.9973678116180384,0.9844856188655914,0.9999981657070076,0.03350891965249303,0.0019500922316812886,0.936308247460615,0.9921290746508947,1.0010225449056145
150000,-0.007396223146654822,-0.004538477145351939,0.0003932008049326597,5.034374976571776,0.9973674412931303,0.9844867789074737,0.9999981784622411,0.0335345798694473,0.0019500440594901781,0.9363081830422664,0.99212918745256,1.0010225298050033
160000,-0.007396211635358874,-0.004538487012986777,0.0003931730287849451,5.034326153167302,0.9973665802650732,0.9844844990902368,0.9999981598087087,0.03351011526350911,0.001950527524719776,0.9363080652059368,0.9921292778239722,1.0010225434070492
170000,-0.007396204083092366,-0.004538483920801122,0.0003931964883115567,5.034325021024073,0.9973666861723979,0.9844856402448611,0.9999981687101789,0.033508190806411764,0.0019508101627149243,0.9363083225161066,0.9921293510975878,1.0010225616858615
180000,-0.007396223419694606,-0.004538471814815432,0.0003932242249085308,5.034351480597218,0.9973671582546831,0.9844856280282805,0.9999981426971082,0.033511463212028136,0.001949782106710149,0.9363079455283035,0.9921292299510622,1.0010225408684654
190000,-0.007396217924689425,-0.00453847934091344,0.0003931726824345487,5.03432924558559,0.9973667516296674,0.9844853696660345,0.9999981554155062,0.03351170091481326,0.0019502881507753984,0.9363072908046625,0.9921294164511323,1.0010225668639736
200000,-0.007396221496284243,-0.004538477790741763,0.00039318719216798175,5.034312325121382,0.9973683575255845,0.9844876556737071,0.9999981541303924,0.03350184102712683,0.0019505702867627043,0.9363083470181136,0.9921291020752874,1.0010225681844078
