run,t,K_over_K0,eps_n,Pi_n,r_eps,r
old,0,1,0.0037054062,2.656046e-10,0.010493103,0.010493102
old,0.35,1.0009503,0.0037156876,0.0019116591,0.011542705,0.009631046
old,0.7,1.0021916,0.0037466759,0.0018908518,0.012422479,0.010531627
old,1.05,1.0033795,0.0037931641,4.654927e-05,0.011856447,0.011809897
old,1.4,1.0044493,0.0038555169,0.00027011783,0.012102964,0.011832846
old,1.75,1.0056888,0.0039351613,0.0025540216,0.0140721,0.011518079
old,2.1,1.0072876,0.0040337966,0.0052182352,0.016379007,0.011160771
old,2.45,1.0091454,0.0041542887,0.0063239202,0.017057031,0.01073311
old,2.8,1.0109004,0.0042957776,0.0052163923,0.015817346,0.010600954
old,3.15,1.0123715,0.0044576741,0.0039834812,0.014204325,0.010220844
old,3.5,1.0136295,0.0046401825,0.004078689,0.01374472,0.0096660306
old,3.85,1.0149208,0.0048460791,0.0054646525,0.014168532,0.0087038792
old,4.2,1.0162397,0.0050764997,0.0057754293,0.013692246,0.0079168169
old,4.55,1.0173332,0.0053294357,0.0050273238,0.011848575,0.006821251
old,4.9,1.0180651,0.0056017671,0.0047252793,0.0097493332,0.0050240539
old,5.25,1.0184945,0.0058892743,0.0058746462,0.0082290156,0.0023543694
old,5.6,1.0187202,0.0061901282,0.0071871835,0.0064575163,-0.00072966723
old,5.95,1.0185694,0.0065014223,0.0072874591,0.0030382127,-0.0042492465
old,6.3,1.0177505,0.0068186276,0.0058893246,-0.0021248366,-0.0080141613
old,6.65,1.0160652,0.0071370142,0.0038635849,-0.0078293245,-0.011692909
old,7,1.01356,0.0074535964,0.0037883463,-0.013246576,-0.017034922
old,7.35,1.0102691,0.0077695069,0.0029017989,-0.019373536,-0.022275335
old,7.7,1.0059599,0.008082952,0.00079046913,-0.026500914,-0.027291383
old,8.05,1.0005857,0.008389564,-0.0010031936,-0.033429672,-0.032426479
old,8.4,0.99425052,0.0086886396,-0.0021421058,-0.03943943,-0.037297324
old,8.75,0.98710979,0.0089844261,-0.0024502467,-0.045086003,-0.042635756
old,9.1,0.9791108,0.0092764645,-0.0029195636,-0.05182475,-0.048905187
old,9.45,0.97000145,0.0095573807,-0.0043245526,-0.059785365,-0.055460812
old,9.8,0.95969483,0.0098178528,-0.0052835154,-0.067679736,-0.062396221
old,10.15,0.94830213,0.010048421,-0.0057002017,-0.074478735,-0.068778533
old,10.5,0.93602723,0.010243054,-0.0052785651,-0.079869455,-0.07459089
old,10.85,0.92307062,0.010400659,-0.0048009973,-0.084382368,-0.079581371
old,11.2,0.90948798,0.010522928,-0.0050378923,-0.088515105,-0.083477213
old,11.55,0.89533998,0.010614549,-0.0049736105,-0.092086986,-0.087113375
old,11.9,0.88073155,0.010678653,-0.0049390268,-0.094777819,-0.089838793
old,12.25,0.86581216,0.010716363,-0.0045615015,-0.096226237,-0.091664735
old,12.6,0.85078762,0.010731107,-0.0033409864,-0.09677318,-0.093432194
old,12.95,0.83571096,0.010725545,-0.0030200297,-0.097848068,-0.094828038
old,13.3,0.82038701,0.010696735,-0.0036692851,-0.099869581,-0.096200296
old,13.65,0.80475239,0.010642628,-0.004286898,-0.10162442,-0.097337524
old,14,0.78895224,0.010562528,-0.0035799195,-0.10185189,-0.098271975
old,14.35,0.77327636,0.010459541,-0.001958195,-0.10093878,-0.098980587
old,14.7,0.7577607,0.010335338,-0.0015344385,-0.10047282,-0.098938381
old,15.05,0.74225007,0.010191224,-0.002533549,-0.10062766,-0.098094111
old,15.4,0.72673142,0.010030488,-0.003575598,-0.100347,-0.096771407
old,15.75,0.71134437,0.0098574474,-0.0037529912,-0.098760924,-0.095007932
old,16.1,0.69631827,0.009677619,-0.0026066102,-0.095905996,-0.093299385
old,16.45,0.68178096,0.0094964559,-0.0016022343,-0.092967968,-0.091365734
old,16.8,0.66762823,0.0093169998,-0.0020421513,-0.090801451,-0.0887593
old,17.15,0.6537478,0.0091419916,-0.0031918674,-0.088891762,-0.085699895
old,17.5,0.64017878,0.0089738994,-0.0038505707,-0.086237988,-0.082387417
old,17.85,0.62708847,0.008815785,-0.0033659608,-0.082638537,-0.079272576
old,18.2,0.61457157,0.0086688807,-0.0023941288,-0.078859094,-0.076464965
old,18.55,0.60258063,0.0085337555,-0.0018552137,-0.075688543,-0.073833329
old,18.9,0.59098933,0.0084096007,-0.0021632793,-0.073389087,-0.071225808
old,19.25,0.579677,0.0082930747,-0.0028632884,-0.071476967,-0.068613678
old,19.6,0.56865372,0.0081822844,-0.0029552441,-0.06946908,-0.066513836
old,19.95,0.55793462,0.0080752199,-0.0028871919,-0.067666123,-0.064778931
old,20.3,0.54744614,0.0079695721,-0.0030889755,-0.066321691,-0.063232715
old,20.65,0.53713307,0.007863897,-0.0029801341,-0.065120086,-0.062139952
old,21,0.52701063,0.007756976,-0.002556932,-0.063787005,-0.061230073
old,21.35,0.51710075,0.007647686,-0.0019530243,-0.062425932,-0.060472908
old,21.7,0.50739001,0.007534656,-0.001730762,-0.06159807,-0.059867308
old,22.05,0.49774359,0.0074154258,-0.0024653445,-0.061610887,-0.059145543
old,22.4,0.48806265,0.0072878109,-0.0032844155,-0.061710548,-0.058426132
old,22.75,0.47842405,0.0071523822,-0.0032134513,-0.060969591,-0.05775614
old,23.1,0.46898849,0.0070110737,-0.0022225156,-0.059283957,-0.057061442
old,23.45,0.45986144,0.0068656841,-0.0012203845,-0.057384104,-0.056163719
old,23.8,0.45099855,0.0067172694,-0.0013959071,-0.056094551,-0.054698644
old,24.15,0.44227413,0.0065653367,-0.0021658661,-0.055305899,-0.053140032
old,24.5,0.43367461,0.0064100429,-0.0025318715,-0.054173165,-0.051641293
old,24.85,0.42531083,0.0062532026,-0.0020414672,-0.052292613,-0.050251146
old,25.004,0.42173681,0.0061842689,-0.001629211,-0.051835553,-0.050206342
new,0,1,0.0037054062,2.656046e-10,-0.0079462121,-0.0079462124
new,0.35,0.99836877,0.0037041589,0.00088266705,-0.0070467534,-0.0079294204
new,0.7,0.99698974,0.0037224444,0.00094613977,-0.0067223876,-0.0076685273
new,1.05,0.99544422,0.003755008,-0.00067608497,-0.0080988932,-0.0074228083
new,1.4,0.99367065,0.0038003158,-0.00066838029,-0.0087054575,-0.0080370772
new,1.75,0.9919426,0.0038599497,0.001281102,-0.0077833003,-0.0090644023
new,2.1,0.99041054,0.0039351268,0.0035626909,-0.0066393546,-0.010202046
new,2.45,0.98898175,0.0040276764,0.0044724485,-0.0070197799,-0.011492228
new,2.8,0.98731725,0.0041359988,0.0034463969,-0.0093233786,-0.012769775
new,3.15,0.98521312,0.0042579651,0.0022214906,-0.012178811,-0.014400301
new,3.5,0.98271496,0.0043925344,0.0020014172,-0.014321671,-0.016323088
new,3.85,0.97997315,0.0045402259,0.0027846793,-0.016024958,-0.018809637
new,4.2,0.97695671,0.0047001009,0.0027517681,-0.018574421,-0.021326189
new,4.55,0.97345628,0.0048693315,0.0018283214,-0.022062069,-0.02389039
new,4.9,0.96941591,0.0050458459,0.0013482649,-0.025188538,-0.026536803
new,5.25,0.96499065,0.0052289464,0.0019550894,-0.02740042,-0.02935551
new,5.6,0.96027969,0.0054178603,0.0025963059,-0.029651021,-0.032247326
new,5.95,0.95517137,0.0056103595,0.0024810494,-0.032811969,-0.035293018
new,6.3,0.94952144,0.005804243,0.0014883799,-0.036816148,-0.038304528
