step,onset_mm,dev_pct,dev21_pct,dev42_pct,dev52_pct,g_exit,M_exit,c_exit,h0err_kJkg
4000,22.512891,1.415358,-4.5222366,4.1906277,4.0621878,0.010859882,1.6510386,288.52975,0.27113184
8000,22.512828,2.315413,-4.5169872,4.9749144,5.223695,0.010852903,1.6356485,289.40866,0.27190918
12000,22.512932,2.417069,-4.5167825,5.0444528,5.3479987,0.010851864,1.6334472,289.53555,0.27201172
16000,22.512974,2.4423805,-4.5165297,5.0604297,5.3788556,0.010851583,1.6329384,289.56516,0.27193945
20000,22.512944,2.4520803,-4.5163892,5.0651265,5.3898127,0.010851465,1.6327189,289.57788,0.27213672
24000,22.512962,2.455936,-4.5163309,5.0666021,5.3936261,0.010851421,1.632609,289.58432,0.27213281
28000,22.512981,2.4575792,-4.51626,5.0672456,5.395118,0.010851379,1.6325519,289.58765,0.2720166
32000,22.512982,2.4582758,-4.516275,5.0675991,5.3956514,0.010851362,1.6325281,289.58902,0.27206348
36000,22.513033,2.4583992,-4.5163121,5.0677761,5.3958529,0.010851367,1.6325186,289.5896,0.27202441
40000,22.513006,2.458539,-4.5163198,5.0677902,5.3960506,0.010851371,1.6325183,289.5896,0.27199805
44000,22.512988,2.458638,-4.516331,5.0678397,5.3961333,0.010851357,1.6325165,289.58969,0.27205371
48000,22.512967,2.4586759,-4.5163104,5.067837,5.3961443,0.010851362,1.6325133,289.5899,0.27205566
