step,onset_mm,dev_pct,dev21_pct,dev42_pct,dev52_pct,g_exit,M_exit,c_exit,h0err_kJkg
4000,22.512873,1.4153433,-4.5222504,4.190665,4.0621956,0.010859883,1.6510386,288.52975,0.27137598
8000,22.51288,2.3154361,-4.5169853,4.9750088,5.2237575,0.010852905,1.6356481,289.40869,0.27182617
12000,22.512924,2.4170804,-4.5166841,5.0444523,5.3479887,0.010851865,1.6334475,289.53555,0.27208203
16000,22.512963,2.4423729,-4.5165005,5.0603644,5.3788553,0.010851583,1.6329392,289.56506,0.2720498
20000,22.512966,2.4520495,-4.5164746,5.06514,5.3898541,0.010851459,1.6327188,289.57788,0.27202734
24000,22.512985,2.4559586,-4.5163641,5.0666585,5.3936358,0.010851417,1.6326084,289.58435,0.27195215
28000,22.512975,2.4575956,-4.5162675,5.0672613,5.3951688,0.010851375,1.6325524,289.58762,0.27199414
32000,22.513033,2.4582899,-4.5162362,5.0675931,5.3956522,0.010851365,1.6325281,289.58902,0.27192871
36000,22.513016,2.4584118,-4.516225,5.0677786,5.3958819,0.010851365,1.6325191,289.58957,0.27199609
40000,22.513004,2.4585635,-4.5162293,5.0677961,5.3960502,0.010851366,1.6325181,289.58966,0.27204004
44000,22.512982,2.4586363,-4.5163017,5.0678237,5.396124,0.010851361,1.6325171,289.58966,0.27204199
48000,22.513,2.4586673,-4.5162208,5.0678244,5.3960826,0.010851365,1.6325134,289.5899,0.27200098
