x_mm,contour_wall,contour_g
-5.968571826815605164e+01,9.908501036905366099e-01,0.000000000000000000e+00
-5.905714631080627441e+01,9.908514262739123168e-01,0.000000000000000000e+00
-5.842857062816619873e+01,9.908521536947688668e-01,0.000000000000000000e+00
-5.780000239610671997e+01,9.908542036990012347e-01,0.000000000000000000e+00
-5.717142671346664429e+01,9.908559891865583724e-01,0.000000000000000000e+00
-5.654285475611686707e+01,9.908587004824783717e-01,0.000000000000000000e+00
-5.591428279876708984e+01,9.908618085534112163e-01,0.000000000000000000e+00
-5.528571084141731262e+01,9.908658424327069225e-01,0.000000000000000000e+00
-5.465714260935783386e+01,9.908707359911969048e-01,0.000000000000000000e+00
-5.402857065200805664e+01,9.908765553580497487e-01,0.000000000000000000e+00
-5.339999869465827942e+01,9.908833005332655652e-01,0.000000000000000000e+00
-5.277143046259880066e+01,9.908913682918570887e-01,0.000000000000000000e+00
-5.214285850524902344e+01,9.909010892796682457e-01,0.000000000000000000e+00
-5.151428282260894775e+01,9.909122651091925027e-01,0.000000000000000000e+00
-5.088571459054946899e+01,9.909254248137802090e-01,0.000000000000000000e+00
-5.025714635848999023e+01,9.909413619434569442e-01,0.000000000000000000e+00
-4.962857067584991455e+01,9.909604071440664130e-01,0.000000000000000000e+00
-4.900000244379043579e+01,9.909827588031149270e-01,0.000000000000000000e+00
-4.837143421173095703e+01,9.910089459539529466e-01,0.000000000000000000e+00
-4.774285480380058289e+01,9.910396960174369108e-01,0.000000000000000000e+00
-4.711428657174110413e+01,9.910758025435923990e-01,0.000000000000000000e+00
-4.648571088910102844e+01,9.911189848908075195e-01,0.000000000000000000e+00
-4.585714265704154968e+01,9.911705656424580901e-01,0.000000000000000000e+00
-4.522857442498207092e+01,9.912318673819197068e-01,0.000000000000000000e+00
-4.459999874234199524e+01,9.913054691467749757e-01,0.000000000000000000e+00
-4.397142678499221802e+01,9.913935531995936579e-01,0.000000000000000000e+00
-4.334285855293273926e+01,9.915003518071778821e-01,0.000000000000000000e+00
-4.271428287029266357e+01,9.916320149822245300e-01,0.000000000000000000e+00
-4.208571463823318481e+01,9.917896669206026639e-01,0.000000000000000000e+00
-4.145713895559310913e+01,9.919996270314880293e-01,0.000000000000000000e+00
-4.082857072353363037e+01,9.922333936431352308e-01,0.000000000000000000e+00
-4.020000249147415161e+01,9.926282509099373375e-01,0.000000000000000000e+00
-3.957142680883407593e+01,9.929295354029118448e-01,0.000000000000000000e+00
-3.894285485148429871e+01,9.939008406339935320e-01,0.000000000000000000e+00
-3.831428661942481995e+01,9.932602473759946093e-01,0.000000000000000000e+00
-3.778554499149322510e+01,9.985095146648044206e-01,0.000000000000000000e+00
-3.735664486885070801e+01,9.930334904562383436e-01,0.000000000000000000e+00
-3.692773729562759399e+01,9.932558167216861689e-01,0.000000000000000000e+00
-3.649883717298507690e+01,9.923106986414423902e-01,0.000000000000000000e+00
-3.606993332505226135e+01,9.919516833841205417e-01,0.000000000000000000e+00
-3.564102575182914734e+01,9.914183516378872740e-01,0.000000000000000000e+00
-3.521212190389633179e+01,9.910080862747587815e-01,0.000000000000000000e+00
-3.478321805596351624e+01,9.905791063568647470e-01,0.000000000000000000e+00
-3.435431048274040222e+01,9.901820006983240718e-01,0.000000000000000000e+00
-3.392540663480758667e+01,9.897862176231589926e-01,0.000000000000000000e+00
-3.349650651216506958e+01,9.893977748857287757e-01,0.000000000000000000e+00
-3.306759893894195557e+01,9.890093982774673664e-01,0.000000000000000000e+00
-3.263869136571884155e+01,9.886211539275435722e-01,0.000000000000000000e+00
-3.220979124307632446e+01,9.882288756983240718e-01,0.000000000000000000e+00
-3.178088739514350891e+01,9.878322990731335240e-01,0.000000000000000000e+00
-3.135198354721069336e+01,9.874282498518706097e-01,0.000000000000000000e+00
-3.092307597398757935e+01,9.870159344845098603e-01,0.000000000000000000e+00
-3.049417398869991302e+01,9.865931045793127074e-01,0.000000000000000000e+00
-3.006526827812194824e+01,9.861593633612663057e-01,0.000000000000000000e+00
-2.963636256754398346e+01,9.857116027594379215e-01,0.000000000000000000e+00
-2.920745871961116791e+01,9.852500211613339776e-01,0.000000000000000000e+00
-2.877855673432350159e+01,9.847722379168782902e-01,0.000000000000000000e+00
-2.834964916110038757e+01,9.842768643135263451e-01,0.000000000000000000e+00
-2.792074531316757202e+01,9.837609245386829127e-01,0.000000000000000000e+00
-2.749184332787990570e+01,9.832238895589977545e-01,0.000000000000000000e+00
-2.706293761730194092e+01,9.826639077577450365e-01,0.000000000000000000e+00
-2.663403190672397614e+01,9.820778710639919140e-01,0.000000000000000000e+00
-2.620512805879116058e+01,9.814659117360758911e-01,0.000000000000000000e+00
-2.577622607350349426e+01,9.808239297655324540e-01,0.000000000000000000e+00
-2.534732222557067871e+01,9.801506025689858959e-01,0.000000000000000000e+00
-2.491841465234756470e+01,9.794436817546978702e-01,0.000000000000000000e+00
-2.448951080441474915e+01,9.786997947350600802e-01,0.000000000000000000e+00
-2.406060695648193359e+01,9.779157011808023992e-01,0.000000000000000000e+00
-2.363169938325881958e+01,9.770891527001862586e-01,0.000000000000000000e+00
-2.320279739797115326e+01,9.762158508972406112e-01,0.000000000000000000e+00
-2.277389355003833771e+01,9.752909683426442822e-01,0.000000000000000000e+00
-2.234498597681522369e+01,9.743094130904011996e-01,0.000000000000000000e+00
-2.191608399152755737e+01,9.732666883570340044e-01,0.000000000000000000e+00
-2.148718014359474182e+01,9.721539989630946232e-01,0.000000000000000000e+00
-2.106072381138801575e+01,9.709676416751311656e-01,0.000000000000000000e+00
-2.063669823110103607e+01,9.697039793888606596e-01,0.000000000000000000e+00
-2.021262235939502716e+01,9.683490588496699303e-01,0.000000000000000000e+00
-1.978846266865730286e+01,9.669036074784154167e-01,0.000000000000000000e+00
-1.936418749392032623e+01,9.653577720289486797e-01,0.000000000000000000e+00
-1.893976703286170959e+01,9.637085766886744898e-01,0.000000000000000000e+00
-1.851516403257846832e+01,9.619449117572371755e-01,0.000000000000000000e+00
-1.809035055339336395e+01,9.600609578677840039e-01,0.000000000000000000e+00
-1.766529120504856110e+01,9.580450101574403687e-01,0.000000000000000000e+00
-1.723995432257652283e+01,9.558889347384459390e-01,0.000000000000000000e+00
-1.681431010365486145e+01,9.535797041645505123e-01,0.000000000000000000e+00
-1.638832874596118927e+01,9.511067377687489888e-01,0.000000000000000000e+00
-1.596197858452796936e+01,9.484552887464026139e-01,0.000000000000000000e+00
-1.553523074835538864e+01,9.456129909429490388e-01,0.000000000000000000e+00
-1.510805543512105942e+01,9.425617249661418784e-01,0.000000000000000000e+00
-1.468042563647031784e+01,9.392859504613171318e-01,0.000000000000000000e+00
-1.425231434404850006e+01,9.357678786820721184e-01,0.000000000000000000e+00
-1.382369361817836761e+01,9.319848273235145086e-01,0.000000000000000000e+00
-1.339454017579555511e+01,9.279186769933976953e-01,0.000000000000000000e+00
-1.296482980251312256e+01,9.235433727992212738e-01,0.000000000000000000e+00
-1.253453828394412994e+01,9.188351082402234082e-01,0.000000000000000000e+00
-1.210364326834678650e+01,9.137662413238530901e-01,0.000000000000000000e+00
-1.167212612926959991e+01,9.083075429575080406e-01,0.000000000000000000e+00
-1.123996637761592865e+01,9.024293211444049945e-01,0.000000000000000000e+00
-1.080714911222457886e+01,8.960961967792450134e-01,0.000000000000000000e+00
-1.037365943193435669e+01,8.892756343109869954e-01,0.000000000000000000e+00
-9.939480572938919067e+00,8.819296094675808106e-01,0.000000000000000000e+00
