x_mm,contour_wall
-5.999999865889549255e+01,9.908501036905366099e-01
-5.937143042683601379e+01,9.908460698112409037e-01
-5.874285846948623657e+01,9.908542698281699312e-01
-5.811428651213645935e+01,9.908450778737091236e-01
-5.748571455478668213e+01,9.908571795115964642e-01
-5.685714259743690491e+01,9.908491778821736373e-01
-5.622857064008712769e+01,9.908624037159302622e-01
-5.559999868273735046e+01,9.908557907990519498e-01
-5.497142672538757324e+01,9.908678263077704829e-01
-5.434285849332809448e+01,9.908735795454545192e-01
-5.371428653597831726e+01,9.908706037328592897e-01
-5.308571457862854004e+01,9.908893182876248318e-01
-5.245714262127876282e+01,9.908874666708988865e-01
-5.182857066392898560e+01,9.909084957465719157e-01
-5.119999870657920837e+01,9.909107441383104842e-01
-5.057142674922943115e+01,9.909324345056712557e-01
-4.994285851716995239e+01,9.909497603478922834e-01
-4.931428655982017517e+01,9.909622587607922473e-01
-4.868571460247039795e+01,9.909958523785339368e-01
-4.805714264512062073e+01,9.910137733832741214e-01
-4.742857068777084351e+01,9.910571541179955535e-01
-4.679999873042106628e+01,9.910863170814288026e-01
-4.617142677307128906e+01,9.911402123539867492e-01
-4.554285854101181030e+01,9.911959592432706412e-01
-4.491428658366203308e+01,9.912544835576434510e-01
-4.428571462631225586e+01,9.913439563230066476e-01
-4.365714266896247864e+01,9.914292629507364119e-01
-4.302857071161270142e+01,9.915556357922803432e-01
-4.239999875426292419e+01,9.916871005798205685e-01
-4.177142679691314697e+01,9.918709396690367219e-01
-4.114285856485366821e+01,9.920915465760961061e-01
-4.051428660750389099e+01,9.923769600685626857e-01
-3.988571465015411377e+01,9.927654689351617101e-01
-3.925714269280433655e+01,9.933386104410022455e-01
-3.862857073545455933e+01,9.939244487472490563e-01
-3.799999877810478210e+01,9.954740535593363804e-01
-3.757109493017196655e+01,9.955991038175046048e-01
-3.714219108223915100e+01,9.933298152615540610e-01
-3.671328723430633545e+01,9.928522965337734929e-01
-3.628438338637351990e+01,9.921958984044354501e-01
-3.585547953844070435e+01,9.917206280683934505e-01
-3.542657196521759033e+01,9.912483996741154879e-01
-3.499766811728477478e+01,9.908311246190959487e-01
-3.456876426935195923e+01,9.904046576096157128e-01
-3.413986042141914368e+01,9.900182648764178639e-01
-3.371095657348632812e+01,9.896115043592348393e-01
-3.328205272555351257e+01,9.892312616387337609e-01
-3.285314515233039856e+01,9.888400414762146262e-01
-3.242424130439758301e+01,9.884410842009480058e-01
-3.199533745646476746e+01,9.880574688928389637e-01
-3.156643360853195190e+01,9.876458148171660678e-01
-3.113752976059913635e+01,9.872459317335364748e-01
-3.070862405002117157e+01,9.868217131157948074e-01
-3.027972020208835602e+01,9.863927331979007729e-01
-2.985081635415554047e+01,9.859505935754190320e-01
-2.942191064357757568e+01,9.854981378026070882e-01
-2.899300679564476013e+01,9.850265045708481715e-01
-2.856410294771194458e+01,9.845382729177247771e-01
-2.813519723713397980e+01,9.840288799305908496e-01
-2.770629338920116425e+01,9.835021611012357834e-01
-2.727738954126834869e+01,9.829542148087014874e-01
-2.684848569333553314e+01,9.823804120111732097e-01
-2.641957998275756836e+01,9.817855140088030952e-01
