x_mm,contour_wall,contour_g
-5.999999865889549255e+01,9.908494423988488675e-01,0.000000000000000000e+00
-5.937143042683601379e+01,9.908448133570340044e-01,0.000000000000000000e+00
-5.874285846948623657e+01,9.908541375698324272e-01,0.000000000000000000e+00
-5.811428651213645935e+01,9.908452762612155462e-01,0.000000000000000000e+00
-5.748571455478668213e+01,9.908572456407651607e-01,0.000000000000000000e+00
-5.685714259743690491e+01,9.908489794946673257e-01,0.000000000000000000e+00
-5.622857064008712769e+01,9.908620069409175279e-01,0.000000000000000000e+00
-5.559999868273735046e+01,9.908562537032334916e-01,0.000000000000000000e+00
-5.497142672538757324e+01,9.908673634035889410e-01,0.000000000000000000e+00
-5.434285849332809448e+01,9.908729182537666658e-01,0.000000000000000000e+00
-5.371428653597831726e+01,9.908704714745217856e-01,0.000000000000000000e+00
-5.308571457862854004e+01,9.908895166751312544e-01,0.000000000000000000e+00
-5.245714262127876282e+01,9.908874666708988865e-01,0.000000000000000000e+00
-5.182857066392898560e+01,9.909086280049094198e-01,0.000000000000000000e+00
-5.119999870657920837e+01,9.909108102674792917e-01,0.000000000000000000e+00
-5.057142674922943115e+01,9.909323022473336406e-01,0.000000000000000000e+00
-4.994285851716995239e+01,9.909494297020484677e-01,0.000000000000000000e+00
-4.931428655982017517e+01,9.909619281149483205e-01,0.000000000000000000e+00
-4.868571460247039795e+01,9.909957862493651293e-01,0.000000000000000000e+00
-4.805714264512062073e+01,9.910137072541053138e-01,0.000000000000000000e+00
-4.742857068777084351e+01,9.910571541179955535e-01,0.000000000000000000e+00
-4.679999873042106628e+01,9.910864493397664177e-01,0.000000000000000000e+00
-4.617142677307128906e+01,9.911402123539867492e-01,0.000000000000000000e+00
-4.554285854101181030e+01,9.911960915016082563e-01,0.000000000000000000e+00
-4.491428658366203308e+01,9.912542190409683318e-01,0.000000000000000000e+00
-4.428571462631225586e+01,9.913436256771627209e-01,0.000000000000000000e+00
-4.365714266896247864e+01,9.914289323048924851e-01,0.000000000000000000e+00
-4.302857071161270142e+01,9.915552390172676089e-01,0.000000000000000000e+00
-4.239999875426292419e+01,9.916869683214829534e-01,0.000000000000000000e+00
-4.177142679691314697e+01,9.918708074106992179e-01,0.000000000000000000e+00
-4.114285856485366821e+01,9.920916788344337212e-01,0.000000000000000000e+00
-4.051428660750389099e+01,9.923767616810563741e-01,0.000000000000000000e+00
-3.988571465015411377e+01,9.927653366768240950e-01,0.000000000000000000e+00
-3.925714269280433655e+01,9.933386104410022455e-01,0.000000000000000000e+00
-3.862857073545455933e+01,9.939244487472490563e-01,0.000000000000000000e+00
-3.799999877810478210e+01,9.954740535593363804e-01,0.000000000000000000e+00
-3.757109493017196655e+01,9.955989054299982932e-01,0.000000000000000000e+00
-3.714219108223915100e+01,9.933296830032165570e-01,0.000000000000000000e+00
-3.671328723430633545e+01,9.928520981462671813e-01,0.000000000000000000e+00
-3.628438338637351990e+01,9.921956338877603310e-01,0.000000000000000000e+00
-3.585547953844070435e+01,9.917203635517183313e-01,0.000000000000000000e+00
-3.542657196521759033e+01,9.912483996741154879e-01,0.000000000000000000e+00
-3.499766811728477478e+01,9.908310584899272522e-01,0.000000000000000000e+00
-3.456876426935195923e+01,9.904046576096157128e-01,0.000000000000000000e+00
-3.413986042141914368e+01,9.900181326180802488e-01,0.000000000000000000e+00
-3.371095657348632812e+01,9.896113059717284166e-01,0.000000000000000000e+00
-3.328205272555351257e+01,9.892312616387337609e-01,0.000000000000000000e+00
-3.285314515233039856e+01,9.888397769595395070e-01,0.000000000000000000e+00
-3.242424130439758301e+01,9.884408196842728866e-01,0.000000000000000000e+00
-3.199533745646476746e+01,9.880571382469950370e-01,0.000000000000000000e+00
-3.156643360853195190e+01,9.876454180421533335e-01,0.000000000000000000e+00
-3.113752976059913635e+01,9.872454027001862364e-01,0.000000000000000000e+00
-3.070862405002117157e+01,9.868213163407820732e-01,0.000000000000000000e+00
-3.027972020208835602e+01,9.863926009395632688e-01,0.000000000000000000e+00
-2.985081635415554047e+01,9.859506597045877285e-01,0.000000000000000000e+00
-2.942191064357757568e+01,9.854978732859319690e-01,0.000000000000000000e+00
-2.899300679564476013e+01,9.850262400541730523e-01,0.000000000000000000e+00
-2.856410294771194458e+01,9.845380745302183545e-01,0.000000000000000000e+00
-2.813519723713397980e+01,9.840287476722532345e-01,0.000000000000000000e+00
-2.770629338920116425e+01,9.835018304553918567e-01,0.000000000000000000e+00
-2.727738954126834869e+01,9.829541486795327909e-01,0.000000000000000000e+00
-2.684848569333553314e+01,9.823801474944980905e-01,0.000000000000000000e+00
-2.641957998275756836e+01,9.817855140088030952e-01,0.000000000000000000e+00
-2.599067613482475281e+01,9.811563610970035487e-01,0.000000000000000000e+00
-2.556177228689193726e+01,9.805005581301845519e-01,0.000000000000000000e+00
-2.513286657631397247e+01,9.798071937954968558e-01,0.000000000000000000e+00
-2.470396272838115692e+01,9.790851294015574524e-01,0.000000000000000000e+00
-2.427505888044834137e+01,9.783210068562722128e-01,0.000000000000000000e+00
-2.384615316987037659e+01,9.775203810098188617e-01,0.000000000000000000e+00
-2.341724932193756104e+01,9.766678437658710132e-01,0.000000000000000000e+00
-2.298834547400474548e+01,9.757708677205011449e-01,0.000000000000000000e+00
-2.255943976342678070e+01,9.748144415523954942e-01,0.000000000000000000e+00
-2.213053591549396515e+01,9.738046491450821351e-01,0.000000000000000000e+00
-2.170163206756114960e+01,9.727287275689859847e-01,0.000000000000000000e+00
-2.127272821962833405e+01,9.715760961571017207e-01,0.000000000000000000e+00
-2.084871754050254822e+01,9.703572033180971612e-01,0.000000000000000000e+00
-2.042467519640922546e+01,9.690477796470289285e-01,0.000000000000000000e+00
-2.000056765973567963e+01,9.676469654647028573e-01,0.000000000000000000e+00
-1.957635954022407532e+01,9.661504623751481224e-01,0.000000000000000000e+00
-1.915201917290687561e+01,9.645584687658710354e-01,0.000000000000000000e+00
-1.872751675546169281e+01,9.628494926570171364e-01,0.000000000000000000e+00
-1.830281503498554230e+01,9.610285598654139116e-01,0.000000000000000000e+00
-1.787788607180118561e+01,9.590800639072286637e-01,0.000000000000000000e+00
-1.745269633829593658e+01,9.569962015405450995e-01,0.000000000000000000e+00
-1.702721416950225830e+01,9.547634824149314747e-01,0.000000000000000000e+00
-1.660140790045261383e+01,9.523727145759268709e-01,0.000000000000000000e+00
-1.617524959146976471e+01,9.498147060690705912e-01,0.000000000000000000e+00
-1.574870757758617401e+01,9.470697504020653135e-01,0.000000000000000000e+00
-1.532175298780202866e+01,9.441245556119858273e-01,0.000000000000000000e+00
-1.489435788244009018e+01,9.409640442483494516e-01,0.000000000000000000e+00
-1.446649339050054550e+01,9.375689065938717093e-01,0.000000000000000000e+00
