x_mm,contour_wall
-5.968571826815605164e+01,9.915885019891653718e-01
-5.905714631080627441e+01,9.914089612959200437e-01
-5.842857062816619873e+01,9.911848495429151917e-01
-5.780000239610671997e+01,9.911311526578635567e-01
-5.717142671346664429e+01,9.910840686896902341e-01
-5.654285475611686707e+01,9.910616509014728015e-01
-5.591428279876708984e+01,9.910453831259522506e-01
-5.528571084141731262e+01,9.910357282673100121e-01
-5.465714260935783386e+01,9.910287847045877729e-01
-5.402857065200805664e+01,9.910253459878111126e-01
-5.339999869465827942e+01,9.910236927585914790e-01
-5.277143046259880066e+01,9.910245524377856441e-01
-5.214285850524902344e+01,9.910283879295750387e-01
-5.151428282260894775e+01,9.910342072964279936e-01
-5.088571459054946899e+01,9.910429363467072594e-01
-5.025714635848999023e+01,9.910552363721009117e-01
-4.962857067584991455e+01,9.910707767267648016e-01
-4.900000244379043579e+01,9.910904170898933163e-01
-4.837143421173095703e+01,9.911148187531741982e-01
-4.774285480380058289e+01,9.911448413958016124e-01
-4.711428657174110413e+01,9.911812785678009163e-01
-4.648571088910102844e+01,9.912252544650415054e-01
-4.585714265704154968e+01,9.912776287667174335e-01
-4.522857442498207092e+01,9.913405837353986838e-01
-4.459999874234199524e+01,9.914134580793972917e-01
-4.397142678499221802e+01,9.915029969739291849e-01
-4.334285855293273926e+01,9.915981568478077213e-01
-4.271428287029266357e+01,9.917288942144912856e-01
-4.208571463823318481e+01,9.918376105679701515e-01
-4.145713895559310913e+01,9.920379819493820861e-01
-4.082857072353363037e+01,9.921121788767564009e-01
-4.020000249147415161e+01,9.924293343702387249e-01
-3.957142680883407593e+01,9.923366212756051796e-01
-3.894285485148429871e+01,9.932367715210767001e-01
-3.831428661942481995e+01,9.918547380226849786e-01
-3.778554499149322510e+01,9.940106150541729857e-01
-3.735664486885070801e+01,9.928352352082274734e-01
-3.692773729562759399e+01,9.932394828169968104e-01
-3.649883717298507690e+01,9.925274700567123798e-01
-3.606993332505226135e+01,9.924371376121550181e-01
-3.564102575182914734e+01,9.917694975241239108e-01
-3.521212190389633179e+01,9.914914243693921936e-01
-3.478321805596351624e+01,9.908561214448958765e-01
-3.435431048274040222e+01,9.906322080793973361e-01
-3.392540663480758667e+01,9.902034926781784208e-01
-3.349650651216506958e+01,9.896101156466903248e-01
-3.306759893894195557e+01,9.895643542618927091e-01
-3.263869136571884155e+01,9.886892008422211164e-01
-3.220979124307632446e+01,9.886340491154562704e-01
-3.178088739514350891e+01,9.881806014051125464e-01
-3.135198354721069336e+01,9.875708243397663955e-01
-3.092307597398757935e+01,9.875296258676147243e-01
-3.049417398869991302e+01,9.866063965422380289e-01
-3.006526827812194824e+01,9.865379528525478614e-01
