x_mm,contour_wall,contour_g
-5.968571826815605164e+01,9.915885681183341793e-01,0.000000000000000000e+00
-5.905714631080627441e+01,9.914089612959200437e-01,0.000000000000000000e+00
-5.842857062816619873e+01,9.911847172845775766e-01,0.000000000000000000e+00
-5.780000239610671997e+01,9.911310865286947491e-01,0.000000000000000000e+00
-5.717142671346664429e+01,9.910839364313526190e-01,0.000000000000000000e+00
-5.654285475611686707e+01,9.910615847723039940e-01,0.000000000000000000e+00
-5.591428279876708984e+01,9.910452508676147465e-01,0.000000000000000000e+00
-5.528571084141731262e+01,9.910356621381412046e-01,0.000000000000000000e+00
-5.465714260935783386e+01,9.910286524462501578e-01,0.000000000000000000e+00
-5.402857065200805664e+01,9.910253459878111126e-01,0.000000000000000000e+00
-5.339999869465827942e+01,9.910237588877602866e-01,0.000000000000000000e+00
-5.277143046259880066e+01,9.910245524377856441e-01,0.000000000000000000e+00
-5.214285850524902344e+01,9.910280572837311119e-01,0.000000000000000000e+00
-5.151428282260894775e+01,9.910342072964279936e-01,0.000000000000000000e+00
-5.088571459054946899e+01,9.910430024758760670e-01,0.000000000000000000e+00
-5.025714635848999023e+01,9.910549057262569850e-01,0.000000000000000000e+00
-4.962857067584991455e+01,9.910706444684272975e-01,0.000000000000000000e+00
-4.900000244379043579e+01,9.910904832190621239e-01,0.000000000000000000e+00
-4.837143421173095703e+01,9.911148187531741982e-01,0.000000000000000000e+00
-4.774285480380058289e+01,9.911448413958016124e-01,0.000000000000000000e+00
-4.711428657174110413e+01,9.911812785678009163e-01,0.000000000000000000e+00
-4.648571088910102844e+01,9.912253205942103129e-01,0.000000000000000000e+00
-4.585714265704154968e+01,9.912776948958862411e-01,0.000000000000000000e+00
-4.522857442498207092e+01,9.913407821229049954e-01,0.000000000000000000e+00
-4.459999874234199524e+01,9.914135903377349068e-01,0.000000000000000000e+00
-4.397142678499221802e+01,9.915029308447604883e-01,0.000000000000000000e+00
-4.334285855293273926e+01,9.915981568478077213e-01,0.000000000000000000e+00
-4.271428287029266357e+01,9.917288280853224780e-01,0.000000000000000000e+00
-4.208571463823318481e+01,9.918376105679701515e-01,0.000000000000000000e+00
-4.145713895559310913e+01,9.920377835618757745e-01,0.000000000000000000e+00
-4.082857072353363037e+01,9.921121127475875934e-01,0.000000000000000000e+00
-4.020000249147415161e+01,9.924295327577450365e-01,0.000000000000000000e+00
-3.957142680883407593e+01,9.923366874047739872e-01,0.000000000000000000e+00
-3.894285485148429871e+01,9.932370360377518193e-01,0.000000000000000000e+00
-3.831428661942481995e+01,9.918550025393600977e-01,0.000000000000000000e+00
-3.778554499149322510e+01,9.940108795708481049e-01,0.000000000000000000e+00
-3.735664486885070801e+01,9.928351690790587769e-01,0.000000000000000000e+00
-3.692773729562759399e+01,9.932404086253597830e-01,0.000000000000000000e+00
-3.649883717298507690e+01,9.925266765066870223e-01,0.000000000000000000e+00
-3.606993332505226135e+01,9.922902647282885180e-01,0.000000000000000000e+00
-3.564102575182914734e+01,9.917893362747587371e-01,0.000000000000000000e+00
-3.521212190389633179e+01,9.914867953275774415e-01,0.000000000000000000e+00
-3.478321805596351624e+01,9.908561875740646840e-01,0.000000000000000000e+00
