x_mm,contour_wall,center,center_T
-5.999999865889549255e+01,9.922665243566954896e-01,9.909919507575757347e-01,2.859124145507812500e+02
-5.937143042683601379e+01,9.913591660318266108e-01,9.909924797909259730e-01,2.859122924804687500e+02
-5.874285846948623657e+01,9.911665317631623839e-01,9.909904297866937162e-01,2.859121093750000000e+02
-5.811428651213645935e+01,9.911204397325207305e-01,9.909878507491112209e-01,2.859118347167968750e+02
-5.748571455478668213e+01,9.910794396478753709e-01,9.909835523531403956e-01,2.859115295410156250e+02
-5.685714259743690491e+01,9.910597992847468563e-01,9.909785926654816057e-01,2.859110717773437500e+02
-5.622857064008712769e+01,9.910443250592517739e-01,9.909721120069409084e-01,2.859105834960937500e+02
-5.559999868273735046e+01,9.910340750380903785e-01,9.909647716692060460e-01,2.859099731445312500e+02
-5.497142672538757324e+01,9.910264701836803969e-01,9.909561087480954766e-01,2.859092712402343750e+02
-5.434285849332809448e+01,9.910218411418655338e-01,9.909461893727780080e-01,2.859084472656250000e+02
-5.371428653597831726e+01,9.910187992001016077e-01,9.909351458015913661e-01,2.859075317382812500e+02
-5.308571457862854004e+01,9.910186669417639926e-01,9.909225812595225946e-01,2.859064941406250000e+02
-5.245714262127876282e+01,9.910203863001523228e-01,9.909085618757406122e-01,2.859053344726562500e+02
-5.182857066392898560e+01,9.910247508252920667e-01,9.908926247460639880e-01,2.859040527343750000e+02
-5.119999870657920837e+01,9.910317605171830024e-01,9.908751666455053453e-01,2.859025878906250000e+02
-5.057142674922943115e+01,9.910417460216691676e-01,9.908554601532080230e-01,2.859009704589843750e+02
-4.994285851716995239e+01,9.910550379845946001e-01,9.908334391400034358e-01,2.858991394042968750e+02
-4.931428655982017517e+01,9.910724299559844352e-01,9.908087068308786272e-01,2.858971252441406250e+02
-4.868571460247039795e+01,9.910937235483324725e-01,9.907809325799898925e-01,2.858948059082031250e+02
-4.805714264512062073e+01,9.911203736033519229e-01,9.907496534831555790e-01,2.858922119140625000e+02
-4.742857068777084351e+01,9.911529752835618323e-01,9.907144066361943668e-01,2.858893127441406250e+02
-4.679999873042106628e+01,9.911923221389876693e-01,9.906746630057559067e-01,2.858860473632812500e+02
-4.617142677307128906e+01,9.912396044946673035e-01,9.906295629126460334e-01,2.858823242187500000e+02
-4.554285854101181030e+01,9.912964094506517831e-01,9.905785111943457011e-01,2.858781433105468750e+02
-4.491428658366203308e+01,9.913637289444726663e-01,9.905209126883358639e-01,2.858733825683593750e+02
-4.428571462631225586e+01,9.914434807220247059e-01,9.904557754570848527e-01,2.858680419921875000e+02
-4.365714266896247864e+01,9.915370534958524162e-01,9.903823720797358954e-01,2.858619995117187500e+02
-4.302857071161270142e+01,9.916459021076688973e-01,9.902997106187574339e-01,2.858551940917968750e+02
-4.239999875426292419e+01,9.917724072075503328e-01,9.902066007491112654e-01,2.858475341796875000e+02
