x_mm,contour_wall,center,center_T,side_wall_mid
-6.000000000000000000e+01,9.922262430191040039e-01,9.909285902976989746e-01,2.859075622558593750e+02,9.921396970748901367e-01
-5.937142944335937500e+01,9.913061261177062988e-01,9.909340739250183105e-01,2.859073486328125000e+02,9.911808371543884277e-01
-5.874285888671875000e+01,9.911093115806579590e-01,9.909261465072631836e-01,2.859068603515625000e+02,9.909861683845520020e-01
-5.811428833007812500e+01,9.910557270050048828e-01,9.909180998802185059e-01,2.859057312011718750e+02,9.909282922744750977e-01
-5.748571395874023438e+01,9.910044670104980469e-01,9.909000992774963379e-01,2.859045104980468750e+02,9.908850193023681641e-01
-5.685714340209960938e+01,9.909716248512268066e-01,9.908810257911682129e-01,2.859029541015625000e+02,9.908518791198730469e-01
-5.622856903076171875e+01,9.909434914588928223e-01,9.908597469329833984e-01,2.859013366699218750e+02,9.908239245414733887e-01
-5.559999847412109375e+01,9.909210801124572754e-01,9.908391237258911133e-01,2.858995056152343750e+02,9.907969832420349121e-01
-5.497142791748046875e+01,9.908978343009948730e-01,9.908123612403869629e-01,2.858973999023437500e+02,9.907711744308471680e-01
-5.434285736083984375e+01,9.908776283264160156e-01,9.907863736152648926e-01,2.858953552246093750e+02,9.907456040382385254e-01
-5.371428680419921875e+01,9.908638596534729004e-01,9.907612800598144531e-01,2.858931274414062500e+02,9.907201528549194336e-01
-5.308571624755859375e+01,9.908470511436462402e-01,9.907308816909790039e-01,2.858908081054687500e+02,9.906953573226928711e-01
-5.245714187622070312e+01,9.908379316329956055e-01,9.907033443450927734e-01,2.858884582519531250e+02,9.906684756278991699e-01
-5.182857131958007812e+01,9.908289909362792969e-01,9.906727075576782227e-01,2.858860168457031250e+02,9.906401038169860840e-01
-5.119999694824218750e+01,9.908261895179748535e-01,9.906430244445800781e-01,2.858833923339843750e+02,9.906108975410461426e-01
-5.057142639160156250e+01,9.908229708671569824e-01,9.906080961227416992e-01,2.858805847167968750e+02,9.905800819396972656e-01
-4.994285964965820312e+01,9.908250570297241211e-01,9.905728697776794434e-01,2.858777770996093750e+02,9.905476570129394531e-01
-4.931428527832031250e+01,9.908342361450195312e-01,9.905374050140380859e-01,2.858747558593750000e+02,9.905123114585876465e-01
-4.868571472167968750e+01,9.908457398414611816e-01,9.904968142509460449e-01,2.858714294433593750e+02,9.904747009277343750e-01
-4.805714416503906250e+01,9.908622503280639648e-01,9.904527068138122559e-01,2.858678588867187500e+02,9.904335737228393555e-01
-4.742856979370117188e+01,9.908873438835144043e-01,9.904071092605590820e-01,2.858641052246093750e+02,9.903894662857055664e-01
-4.679999923706054688e+01,9.909208416938781738e-01,9.903584718704223633e-01,2.858599853515625000e+02,9.903402328491210938e-01
-4.617142486572265625e+01,9.909594655036926270e-01,9.903017878532409668e-01,2.858553771972656250e+02,9.902868866920471191e-01
-4.554285812377929688e+01,9.910082221031188965e-01,9.902408719062805176e-01,2.858504638671875000e+02,9.902276396751403809e-01
-4.491428756713867188e+01,9.910705089569091797e-01,9.901766180992126465e-01,2.858449707031250000e+02,9.901626706123352051e-01
-4.428571319580078125e+01,9.911386966705322266e-01,9.901006221771240234e-01,2.858388671875000000e+02,9.900904297828674316e-01
-4.365714263916015625e+01,9.912235736846923828e-01,9.900208711624145508e-01,2.858322448730468750e+02,9.900102019309997559e-01
-4.302857208251953125e+01,9.913137555122375488e-01,9.899304509162902832e-01,2.858248901367187500e+02,9.899215698242187500e-01
-4.239999771118164062e+01,9.914195537567138672e-01,9.898328185081481934e-01,2.858167114257812500e+02,9.898227453231811523e-01
-4.177142715454101562e+01,9.915156960487365723e-01,9.897204041481018066e-01,2.858074951171875000e+02,9.897134900093078613e-01
-4.114286041259765625e+01,9.916316270828247070e-01,9.895972609519958496e-01,2.857974548339843750e+02,9.895916581153869629e-01
