x_mm,contour_wall,center,center_T,center_g,contour_g,side_wall_mid
-6.000000000000000000e+01,9.922255873680114746e-01,9.909281730651855469e-01,2.859075012207031250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.921409487724304199e-01
-5.937142944335937500e+01,9.913053512573242188e-01,9.909337759017944336e-01,2.859073181152343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.911814928054809570e-01
-5.874285888671875000e+01,9.911081194877624512e-01,9.909255504608154297e-01,2.859067993164062500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.909873008728027344e-01
-5.811428833007812500e+01,9.910544157028198242e-01,9.909173846244812012e-01,2.859057006835937500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.909291267395019531e-01
-5.748571395874023438e+01,9.910029172897338867e-01,9.908990263938903809e-01,2.859044189453125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.908851385116577148e-01
-5.685714340209960938e+01,9.909697771072387695e-01,9.908798336982727051e-01,2.859028930664062500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.908522367477416992e-01
-5.622856903076171875e+01,9.909409880638122559e-01,9.908582568168640137e-01,2.859012756347656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.908237457275390625e-01
-5.559999847412109375e+01,9.909184575080871582e-01,9.908370971679687500e-01,2.858993225097656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.907972812652587891e-01
-5.497142791748046875e+01,9.908946156501770020e-01,9.908099770545959473e-01,2.858972167968750000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.907720088958740234e-01
-5.434285736083984375e+01,9.908737540245056152e-01,9.907835125923156738e-01,2.858951416015625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.907461404800415039e-01
-5.371428680419921875e+01,9.908593893051147461e-01,9.907580614089965820e-01,2.858928222656250000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.907204508781433105e-01
-5.308571624755859375e+01,9.908422231674194336e-01,9.907268285751342773e-01,2.858904418945312500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.906936287879943848e-01
-5.245714187622070312e+01,9.908325076103210449e-01,9.906984567642211914e-01,2.858880310058593750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.906659722328186035e-01
-5.182857131958007812e+01,9.908229708671569824e-01,9.906669259071350098e-01,2.858855590820312500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.906372427940368652e-01
-5.119999694824218750e+01,9.908196926116943359e-01,9.906364679336547852e-01,2.858829040527343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.906063675880432129e-01
-5.057142639160156250e+01,9.908156991004943848e-01,9.906005263328552246e-01,2.858800354003906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.905745387077331543e-01
-4.994285964965820312e+01,9.908167123794555664e-01,9.905640482902526855e-01,2.858771057128906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.905402064323425293e-01
-4.931428527832031250e+01,9.908247590065002441e-01,9.905274510383605957e-01,2.858739929199218750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.905033111572265625e-01
-4.868571472167968750e+01,9.908347129821777344e-01,9.904858469963073730e-01,2.858705444335937500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.904635548591613770e-01
-4.805714416503906250e+01,9.908499121665954590e-01,9.904403686523437500e-01,2.858668823242187500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.904208779335021973e-01
-4.742856979370117188e+01,9.908734560012817383e-01,9.903934001922607422e-01,2.858630371093750000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.903743267059326172e-01
-4.679999923706054688e+01,9.909049868583679199e-01,9.903435111045837402e-01,2.858587646484375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.903235435485839844e-01
-4.617142486572265625e+01,9.909420609474182129e-01,9.902854561805725098e-01,2.858540344238281250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.902683496475219727e-01
-4.554285812377929688e+01,9.909889698028564453e-01,9.902231097221374512e-01,2.858489685058593750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.902072548866271973e-01
-4.491428756713867188e+01,9.910497665405273438e-01,9.901575446128845215e-01,2.858433532714843750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.901397824287414551e-01
-4.428571319580078125e+01,9.911161661148071289e-01,9.900799393653869629e-01,2.858371276855468750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.900663495063781738e-01
-4.365714263916015625e+01,9.911995530128479004e-01,9.899989962577819824e-01,2.858303833007812500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.899844527244567871e-01
-4.302857208251953125e+01,9.912878274917602539e-01,9.899072051048278809e-01,2.858228759765625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.898942708969116211e-01
-4.239999771118164062e+01,9.913916587829589844e-01,9.898082017898559570e-01,2.858145751953125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.897944331169128418e-01
-4.177142715454101562e+01,9.914855360984802246e-01,9.896944761276245117e-01,2.858052673339843750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.896833896636962891e-01
