x_mm,contour_wall,center,center_T,side_wall_mid
-6.000000000000000000e+01,9.922223091125488281e-01,9.909508228302001953e-01,2.859093322753906250e+02,9.921458363533020020e-01
-5.937142944335937500e+01,9.913168549537658691e-01,9.909558892250061035e-01,2.859091186523437500e+02,9.912031888961791992e-01
-5.874285888671875000e+01,9.911171197891235352e-01,9.909473061561584473e-01,2.859085998535156250e+02,9.910054802894592285e-01
-5.811428833007812500e+01,9.910657405853271484e-01,9.909394979476928711e-01,2.859075317382812500e+02,9.909509420394897461e-01
-5.748571395874023438e+01,9.910126924514770508e-01,9.909217357635498047e-01,2.859063415527343750e+02,9.909048676490783691e-01
-5.685714340209960938e+01,9.909790754318237305e-01,9.909031987190246582e-01,2.859048461914062500e+02,9.908732771873474121e-01
-5.622856903076171875e+01,9.909502267837524414e-01,9.908824563026428223e-01,2.859032287597656250e+02,9.908450841903686523e-01
-5.559999847412109375e+01,9.909268617630004883e-01,9.908621311187744141e-01,2.859013977050781250e+02,9.908195137977600098e-01
-5.497142791748046875e+01,9.909030795097351074e-01,9.908365607261657715e-01,2.858993530273437500e+02,9.907944798469543457e-01
-5.434285736083984375e+01,9.908818006515502930e-01,9.908110499382019043e-01,2.858973693847656250e+02,9.907701611518859863e-01
-5.371428680419921875e+01,9.908668994903564453e-01,9.907872676849365234e-01,2.858952331542968750e+02,9.907450675964355469e-01
-5.308571624755859375e+01,9.908492565155029297e-01,9.907577037811279297e-01,2.858929748535156250e+02,9.907200932502746582e-01
-5.245714187622070312e+01,9.908388853073120117e-01,9.907313585281372070e-01,2.858907470703125000e+02,9.906940460205078125e-01
-5.182857131958007812e+01,9.908283948898315430e-01,9.907020926475524902e-01,2.858884277343750000e+02,9.906668663024902344e-01
-5.119999694824218750e+01,9.908245205879211426e-01,9.906737804412841797e-01,2.858859252929687500e+02,9.906389713287353516e-01
-5.057142639160156250e+01,9.908196926116943359e-01,9.906405210494995117e-01,2.858833007812500000e+02,9.906091690063476562e-01
-4.994285964965820312e+01,9.908201694488525391e-01,9.906069636344909668e-01,2.858805847167968750e+02,9.905776381492614746e-01
-4.931428527832031250e+01,9.908270239830017090e-01,9.905733466148376465e-01,2.858776855468750000e+02,9.905443787574768066e-01
-4.868571472167968750e+01,9.908360838890075684e-01,9.905346632003784180e-01,2.858744812011718750e+02,9.905082583427429199e-01
-4.805714416503906250e+01,9.908500313758850098e-01,9.904925227165222168e-01,2.858710937500000000e+02,9.904693961143493652e-01
-4.742856979370117188e+01,9.908725023269653320e-01,9.904489517211914062e-01,2.858675231933593750e+02,9.904270768165588379e-01
-4.679999923706054688e+01,9.909030199050903320e-01,9.904023408889770508e-01,2.858635559082031250e+02,9.903809428215026855e-01
-4.617142486572265625e+01,9.909391999244689941e-01,9.903475046157836914e-01,2.858591308593750000e+02,9.903296828269958496e-01
-4.554285812377929688e+01,9.909857511520385742e-01,9.902882575988769531e-01,2.858543701171875000e+02,9.902734756469726562e-01
-4.491428756713867188e+01,9.910473823547363281e-01,9.902256727218627930e-01,2.858490295410156250e+02,9.902110099792480469e-01
-4.428571319580078125e+01,9.911168813705444336e-01,9.901508688926696777e-01,2.858430480957031250e+02,9.901412725448608398e-01
-4.365714263916015625e+01,9.912063479423522949e-01,9.900724291801452637e-01,2.858365478515625000e+02,9.900634884834289551e-01
-4.302857208251953125e+01,9.913112521171569824e-01,9.899828433990478516e-01,2.858292541503906250e+02,9.899765253067016602e-01
-4.239999771118164062e+01,9.914383888244628906e-01,9.898855686187744141e-01,2.858211059570312500e+02,9.898787140846252441e-01
-4.177142715454101562e+01,9.915828108787536621e-01,9.897733330726623535e-01,2.858119812011718750e+02,9.897696971893310547e-01
-4.114286041259765625e+01,9.917512536048889160e-01,9.896496534347534180e-01,2.858019104003906250e+02,9.896475076675415039e-01
-4.051428604125976562e+01,9.919399023056030273e-01,9.895149469375610352e-01,2.857906188964843750e+02,9.895112514495849609e-01
-3.988571548461914062e+01,9.921414852142333984e-01,9.893599748611450195e-01,2.857780456542968750e+02,9.893592596054077148e-01
-3.925714111328125000e+01,9.923431873321533203e-01,9.891929030418395996e-01,2.857641906738281250e+02,9.891908764839172363e-01
-3.862857055664062500e+01,9.925374388694763184e-01,9.890043735504150391e-01,2.857488708496093750e+02,9.890037178993225098e-01
-3.800000000000000000e+01,9.926871657371520996e-01,9.888023734092712402e-01,2.857319030761718750e+02,9.887979030609130859e-01
-3.757109451293945312e+01,9.929063320159912109e-01,9.886422753334045410e-01,2.857192077636718750e+02,9.886425137519836426e-01
-3.714219284057617188e+01,9.928902387619018555e-01,9.884806275367736816e-01,2.857057800292968750e+02,9.884806871414184570e-01
-3.671328735351562500e+01,9.926253557205200195e-01,9.883058667182922363e-01,2.856914367675781250e+02,9.883053302764892578e-01
-3.628438186645507812e+01,9.922668933868408203e-01,9.881215095520019531e-01,2.856761474609375000e+02,9.881209135055541992e-01
-3.585548019409179688e+01,9.918213486671447754e-01,9.879221320152282715e-01,2.856598815917968750e+02,9.879233837127685547e-01
-3.542657089233398438e+01,9.913803339004516602e-01,9.877147078514099121e-01,2.856427001953125000e+02,9.877147078514099121e-01
-3.499766921997070312e+01,9.909276366233825684e-01,9.874911308288574219e-01,2.856243591308593750e+02,9.874929785728454590e-01
-3.456876373291015625e+01,9.904941916465759277e-01,9.872568249702453613e-01,2.856049804687500000e+02,9.872578382492065430e-01
