x_mm,contour_wall,center,center_T,center_g,contour_g
-5.999999865889549255e+01,9.922671195192145355e-01,9.909924136617572765e-01,2.859125366210937500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.937143042683601379e+01,9.913595628068393451e-01,9.909928765659387073e-01,2.859123535156250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.874285846948623657e+01,9.911669946673438147e-01,9.909909588200440655e-01,2.859121093750000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.811428651213645935e+01,9.911209687658709688e-01,9.909881813949551477e-01,2.859118652343750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.748571455478668213e+01,9.910802331979008395e-01,9.909841475156594415e-01,2.859115600585937500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.685714259743690491e+01,9.910603283180972056e-01,9.909791216988318441e-01,2.859110717773437500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.622857064008712769e+01,9.910447879634332047e-01,9.909727071694599543e-01,2.859105529785156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.559999868273735046e+01,9.910346040714406168e-01,9.909651684442186692e-01,2.859099426269531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.497142672538757324e+01,9.910269992170306352e-01,9.909567700397833301e-01,2.859092407226562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.434285849332809448e+01,9.910225024335533872e-01,9.909468506644658614e-01,2.859084472656250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.371428653597831726e+01,9.910194604917893502e-01,9.909355425766039893e-01,2.859075317382812500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.308571457862854004e+01,9.910192621042830385e-01,9.909229780345353289e-01,2.859064941406250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.245714262127876282e+01,9.910209153335026722e-01,9.909090247799221540e-01,2.859053344726562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.182857066392898560e+01,9.910256105044862318e-01,9.908932199085830339e-01,2.859040527343750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
