x_mm,contour_wall,center,center_T,center_g,contour_g
-5.999999865889549255e+01,9.922667227442018012e-01,9.909924136617572765e-01,2.859124755859375000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.937143042683601379e+01,9.913599595818520793e-01,9.909929426951075149e-01,2.859123840332031250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.874285846948623657e+01,9.911668624090063107e-01,9.909909588200440655e-01,2.859120788574218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.811428651213645935e+01,9.911208365075334648e-01,9.909883136532926518e-01,2.859119262695312500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.748571455478668213e+01,9.910802331979008395e-01,9.909842136448281380e-01,2.859115905761718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.685714259743690491e+01,9.910603283180972056e-01,9.909791878280006516e-01,2.859111022949218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.622857064008712769e+01,9.910449863509395163e-01,9.909727732986287618e-01,2.859106140136718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.559999868273735046e+01,9.910346040714406168e-01,9.909653007025562843e-01,2.859100341796875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.497142672538757324e+01,9.910269992170306352e-01,9.909565716522769074e-01,2.859092712402343750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.434285849332809448e+01,9.910222379168782680e-01,9.909468506644658614e-01,2.859084777832031250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.371428653597831726e+01,9.910194604917893502e-01,9.909355425766039893e-01,2.859075622558593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.308571457862854004e+01,9.910192621042830385e-01,9.909231102928728330e-01,2.859064941406250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.245714262127876282e+01,9.910209153335026722e-01,9.909088263924157314e-01,2.859053649902343750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.182857066392898560e+01,9.910256766336550394e-01,9.908932860377518415e-01,2.859040527343750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.119999870657920837e+01,9.910323556797020483e-01,9.908754972913492720e-01,2.859026184082031250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.057142674922943115e+01,9.910427379592009478e-01,9.908558569282207573e-01,2.859009399414062500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.994285851716995239e+01,9.910558315346199576e-01,9.908339020441848666e-01,2.858991394042968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.931428655982017517e+01,9.910730912476722887e-01,9.908091036058913614e-01,2.858971252441406250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.868571460247039795e+01,9.910945170983578301e-01,9.907813954841713233e-01,2.858948364257812500e+02,0.000000000000000000e+00,0.000000000000000000e+00
