x_m,r_m,x_over_rt,r_over_rt,theta_rad,M_wall  (非粘性設計壁 = 逆 MOC; r_t 0.07702 m)
0.000000000000000000e+00,7.702000000000000512e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.724566000667268319e-18,1.121296635024392252e+00
1.986858041417566192e-03,7.703523735653326765e-02,2.579665075847268479e-02,1.000197836361117476e+00,1.379860702729098290e-02,1.147450805740262147e+00
4.006288227903449795e-03,7.707572693255242136e-02,5.201620654250128928e-02,1.000723538464715956e+00,2.619320771592049610e-02,1.170211098873176425e+00
6.059680175791034955e-03,7.714219715809460254e-02,7.867670963114820060e-02,1.001586563984609102e+00,3.866650782455098578e-02,1.193402603221473068e+00
8.144362276688061827e-03,7.723598152135296990e-02,1.057434728211900932e-01,1.002804226452258751e+00,5.108288881675959736e-02,1.216809775586495945e+00
1.026216304565445887e-02,7.735744222171836437e-02,1.332402368950202365e-01,1.004381228534385384e+00,6.341610165742643523e-02,1.240402625330049524e+00
1.241428198769001928e-02,7.750728968083948900e-02,1.611825757944692072e-01,1.006326794090359522e+00,7.561439287768652318e-02,1.264117737498346994e+00
1.460168091587350434e-02,7.768625910084570041e-02,1.895829773548883823e-01,1.008650468720406312e+00,8.760931974926178256e-02,1.287867487851331649e+00
1.682519994176838452e-02,7.789480842633975111e-02,2.184523492828925328e-01,1.011358198212668702e+00,9.932890183344282586e-02,1.311561069995921036e+00
1.908869931814398749e-02,7.813352659360407737e-02,2.478408117131132848e-01,1.014457629104181580e+00,1.107400690220047279e-01,1.335161389629137219e+00
2.139393131960914962e-02,7.840282290152715550e-02,2.777711155493267636e-01,1.017954075584616369e+00,1.217771575307980830e-01,1.358587217663776769e+00
2.374588501610922983e-02,7.870355387305096040e-02,3.083080370826957739e-01,1.021858658440027989e+00,1.323967291071416752e-01,1.381784632831188464e+00
2.614610653523301992e-02,7.903569287835592039e-02,3.394716506781747523e-01,1.026171031918409637e+00,1.425559027673079238e-01,1.404713074275957707e+00
2.859918992812238159e-02,7.939986690979970729e-02,3.713216038447465506e-01,1.030899336663200438e+00,1.522259551497033292e-01,1.427346888164339633e+00
3.111055257687612291e-02,7.979696030404191676e-02,4.039282339246444975e-01,1.036055054583769230e+00,1.613655780488568725e-01,1.449638471133535500e+00
3.368480005162852869e-02,8.022748720492381413e-02,4.373513379853093408e-01,1.041644861138974365e+00,1.699547202541296376e-01,1.471579231026103107e+00
3.632648852203930467e-02,8.069185732829019242e-02,4.716500716961737338e-01,1.047674075932097937e+00,1.780012520663832032e-01,1.493206897413126066e+00
3.904130610613481406e-02,8.119082876774733060e-02,5.068982875374553609e-01,1.054152541778074825e+00,1.855082950829416988e-01,1.514550386358377798e+00
4.183525940265152288e-02,8.172525183140370852e-02,5.431739730284539380e-01,1.061091298771795755e+00,1.924871355501310000e-01,1.535652189842608539e+00
4.471513298375273671e-02,8.229616573124988455e-02,5.805652166158495886e-01,1.068503839668266453e+00,1.989285261014427930e-01,1.556519795809262030e+00
4.768798795130825552e-02,8.290453375282297310e-02,6.191636971086503793e-01,1.076402671420708446e+00,2.048162953683314025e-01,1.577147044845890633e+00
5.076052639604371891e-02,8.355141199347651537e-02,6.590564320441926194e-01,1.084801506017612382e+00,2.102319906561959106e-01,1.597699138963957877e+00
5.394051271494743061e-02,8.423816873809014671e-02,7.003442315625477699e-01,1.093718108778111375e+00,2.151918755615556955e-01,1.618228601255397470e+00
5.723618273614595325e-02,8.496630263482157774e-02,7.431340266962600527e-01,1.103171937611290288e+00,2.197143704364336037e-01,1.638793076639286639e+00
6.065618191275462534e-02,8.573742617981405800e-02,7.875380669015141777e-01,1.113183928587562432e+00,2.238195761702243824e-01,1.659453401143042850e+00
6.420964956539441937e-02,8.655327994952827231e-02,8.336750138326981530e-01,1.123776680726152444e+00,2.275289227595340968e-01,1.680273732483586357e+00
6.790622115278314996e-02,8.741573414134617970e-02,8.816699708229439603e-01,1.134974475997743149e+00,2.308660056019647688e-01,1.701322731500164442e+00
7.175608877764338978e-02,8.832681409393899896e-02,9.316552684710904808e-01,1.146803610671760509e+00,2.338580524604201849e-01,1.722676302139721116e+00
7.577000636401794165e-02,8.928872906705574708e-02,9.837705318620869610e-01,1.159292768982806310e+00,2.365379417141262874e-01,1.744421003990989760e+00
7.995947748298798397e-02,9.030395912559768812e-02,1.038165119228615652e+00,1.172474151202254955e+00,2.389428808789959002e-01,1.766653208501696160e+00
8.433676484114650818e-02,9.137529053627173325e-02,1.094998245146020510e+00,1.186383933215680697e+00,2.411056895503307373e-01,1.789463809099013591e+00
8.891498865398474172e-02,9.250583961935265886e-02,1.154440257777002543e+00,1.201062576205565557e+00,2.430502275206398444e-01,1.812930569296557159e+00
9.370826823352858270e-02,9.369906552600652805e-02,1.216674477194606308e+00,1.216554992547475011e+00,2.447950911720467859e-01,1.837124928776367350e+00
9.873174379336138728e-02,9.495870581257112586e-02,1.281897478490799491e+00,1.232909709329669257e+00,2.463557263315866996e-01,1.862114358630566624e+00
1.040007075825733901e-01,9.628695510194575091e-02,1.350307810731931735e+00,1.250155220747153351e+00,2.477388304002511310e-01,1.887932351886367099e+00
1.095338042385329141e-01,9.769017098953211575e-02,1.422147549188949700e+00,1.268374071533784786e+00,2.489685549924443297e-01,1.914687884125662709e+00
1.153498348607378543e-01,9.917240003120723901e-02,1.497660800580860041e+00,1.287618800716790801e+00,2.500560056975711931e-01,1.942439405293957755e+00
1.214695926958293259e-01,1.007385012144859926e-01,1.577117536949225185e+00,1.307952495643806667e+00,2.510152849467123803e-01,1.971258340794945552e+00
1.279165546158594624e-01,1.023944971606339793e-01,1.660822573563482951e+00,1.329453351864891886e+00,2.518633343378433032e-01,2.001232359651659021e+00
1.347182861532110476e-01,1.041475953478724764e-01,1.749133811389392834e+00,1.352214948686996543e+00,2.526161858713189545e-01,2.032463792918516532e+00
1.418430261565906680e-01,1.059893957766093048e-01,1.841638875053111635e+00,1.376128223534267780e+00,2.533173334572431656e-01,2.064725683550314717e+00
1.481425741791585760e-01,1.076220057239254679e-01,1.923429942601383669e+00,1.397325444351148471e+00,2.538417735147933119e-01,2.092976726543878563e+00
1.547631279367374657e-01,1.093413021536217278e-01,2.009388833247694794e+00,1.419648171301242767e+00,2.543504214883666736e-01,2.122364740188476873e+00
1.617301015979136780e-01,1.111543911007686625e-01,2.099845515423444109e+00,1.443188666590089042e+00,2.548573880554295679e-01,2.152976175054787333e+00
1.690703653846059029e-01,1.130686498749670366e-01,2.195148862433210724e+00,1.468042714554232964e+00,2.553812147603276572e-01,2.184902153332283881e+00
1.768127966798224149e-01,1.150922889412022698e-01,2.295673807839813119e+00,1.494316916920309879e+00,2.559447333356739684e-01,2.218243498497815214e+00
1.849888427845746419e-01,1.172343267111401049e-01,2.401828652097826922e+00,1.522128365504285874e+00,2.565649594728764415e-01,2.253098178692158449e+00
1.936321098765721171e-01,1.195050089671165910e-01,2.514049725741003716e+00,1.551610087861809761e+00,2.572726950080174158e-01,2.289587389272822460e+00
2.027791455636338835e-01,1.219153842432528778e-01,2.632811549774524362e+00,1.582905534189208874e+00,2.580902911704039959e-01,2.327824821420497514e+00
2.124694916288320801e-01,1.244782335427055409e-01,2.758627520498988073e+00,1.616180648438139800e+00,2.590491747141426271e-01,2.367944487609068283e+00
2.227458119787693591e-01,1.272073383643797795e-01,2.892051570744862854e+00,1.651614364637493670e+00,2.601761959558119286e-01,2.410076911727458970e+00
2.336546198917903716e-01,1.301189096570905535e-01,3.033687612201900308e+00,1.689417159920677092e+00,2.615039924667303395e-01,2.454371271468168469e+00
2.452458483089856589e-01,1.332302744166982966e-01,3.184183956231961155e+00,1.729814001774841348e+00,2.630572185007772346e-01,2.500965506279947181e+00
2.575740684467713315e-01,1.365619367037615717e-01,3.344249135896796954e+00,1.773071107553383152e+00,2.648605816138948632e-01,2.550007331069341188e+00
2.706973947618275811e-01,1.401355608354751536e-01,3.514637688416353711e+00,1.819469758964881168e+00,2.669221385773126731e-01,2.601611979592532986e+00
2.846783905093338007e-01,1.439755590995735746e-01,3.696161912611448663e+00,1.869326916379817849e+00,2.692330921695837431e-01,2.655862874551532471e+00
2.995835185185732330e-01,1.481084048347599269e-01,3.889684737971607742e+00,1.922986300113735725e+00,2.717531166361804029e-01,2.712771719757298250e+00
3.154815252368917133e-01,1.525608810750619104e-01,4.096098743662577313e+00,1.980795651454971384e+00,2.743959829074536505e-01,2.772229297716159113e+00
3.324422397244141125e-01,1.573593606872296102e-01,4.316310565105350605e+00,2.043097386227338497e+00,2.770216548771112786e-01,2.833969161712939666e+00
3.505339816647100593e-01,1.625276277013086856e-01,4.551207240518177599e+00,2.110200307729273916e+00,2.794368844281264197e-01,2.897541078425025507e+00
3.698192255659172312e-01,1.680829932413201444e-01,4.801599916462181206e+00,2.182329177373671047e+00,2.814253467219440252e-01,2.962350262896305431e+00
3.903522493906764201e-01,1.740354060247014945e-01,5.068193318497486111e+00,2.259613165732296647e+00,2.827890539290944250e-01,3.027746787379899107e+00
4.121757197503078674e-01,1.803853106069126799e-01,5.351541414571642008e+00,2.342058044753475343e+00,2.833977750772874171e-01,3.093150744916394412e+00
4.353197781772532582e-01,1.871245972596640161e-01,5.652035551509389855e+00,2.429558520639626185e+00,2.832039319479319750e-01,3.158118575907133518e+00
4.598015309476752854e-01,1.942377187718070108e-01,5.969897831052652037e+00,2.521912733988665334e+00,2.822328002072947428e-01,3.222351966249226152e+00
4.856253440462668935e-01,2.017034436017600130e-01,6.305184939577601178e+00,2.618845022095040331e+00,2.805542707358158472e-01,3.285654391481220404e+00
5.127833481617023459e-01,2.094961929938032319e-01,6.657794704774114614e+00,2.720023279587162168e+00,2.782617298757626423e-01,3.347897800951438185e+00
5.412554078857076956e-01,2.175871591594574772e-01,7.027465695737570073e+00,2.825073476492566460e+00,2.754517122302689858e-01,3.408977786296667478e+00
5.710124125854670885e-01,2.259459197665046604e-01,7.413819950473475195e+00,2.933600620183129504e+00,2.722179188193537547e-01,3.468814404813875374e+00
6.020179609940270460e-01,2.345414699228994815e-01,7.816384848013854025e+00,3.045202154283296103e+00,2.686455076520050667e-01,3.527341435903331046e+00
6.342314579048053957e-01,2.433432661365681760e-01,8.234633314785838820e+00,3.159481513068919334e+00,2.648087242475618552e-01,3.584505452193092800e+00
6.676111225132860261e-01,2.523225422461604639e-01,8.668022883839080706e+00,3.276065207039216443e+00,2.607742209256346255e-01,3.640281640248941297e+00
