x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-9.627500176429748535e-01,4.994747042655944824e-01,-1.250000095367431641e+01,6.485000133514404297e+00
-9.557866454124450684e-01,4.994747042655944824e-01,-1.240959072113037109e+01,6.485000133514404297e+00
-9.488233327865600586e-01,4.994747042655944824e-01,-1.231918144226074219e+01,6.485000133514404297e+00
-9.418600201606750488e-01,4.994747042655944824e-01,-1.222877216339111328e+01,6.485000133514404297e+00
-9.348966479301452637e-01,4.994747042655944824e-01,-1.213836288452148438e+01,6.485000133514404297e+00
-9.279333353042602539e-01,4.994747042655944824e-01,-1.204795360565185547e+01,6.485000133514404297e+00
-9.209699630737304688e-01,4.994746446609497070e-01,-1.195754337310791016e+01,6.484999656677246094e+00
-9.140066504478454590e-01,4.994727075099945068e-01,-1.186713409423828125e+01,6.484974384307861328e+00
-9.070433378219604492e-01,4.994652271270751953e-01,-1.177672481536865234e+01,6.484877109527587891e+00
-9.000799655914306641e-01,4.994485378265380859e-01,-1.168631553649902344e+01,6.484660625457763672e+00
-8.931165933609008789e-01,4.994190633296966553e-01,-1.159590530395507812e+01,6.484277725219726562e+00
-8.861532807350158691e-01,4.993731379508972168e-01,-1.150549602508544922e+01,6.483681678771972656e+00
-8.791899681091308594e-01,4.993074536323547363e-01,-1.141508674621582031e+01,6.482828617095947266e+00
-8.722265958786010742e-01,4.992184042930603027e-01,-1.132467746734619141e+01,6.481672763824462891e+00
-8.652632832527160645e-01,4.991028308868408203e-01,-1.123426818847656250e+01,6.480172157287597656e+00
-8.582999110221862793e-01,4.989573657512664795e-01,-1.114385795593261719e+01,6.478283405303955078e+00
-8.513365983963012695e-01,4.987788796424865723e-01,-1.105344867706298828e+01,6.475965976715087891e+00
-8.443732857704162598e-01,4.985641837120056152e-01,-1.096303939819335938e+01,6.473178386688232422e+00
-8.374099135398864746e-01,4.983102679252624512e-01,-1.087263011932373047e+01,6.469881534576416016e+00
-8.304466009140014648e-01,4.980141222476959229e-01,-1.078222084045410156e+01,6.466036796569824219e+00
