y ro Ps Ux Uy Uz
0 0.0774145857 20000 1503.51452 0 0
0.002 0.0774052556 20000 1503.60513 0 0
0.004 0.0773908088 20000 1503.74547 0 0
0.006 0.077368925 20000 1503.95812 0 0
0.008 0.0773365024 20000 1504.27335 0 0
0.01 0.0772895327 20000 1504.73036 0 0
0.012 0.0772230222 20000 1505.37822 0 0
0.014 0.077131 20000 1506.27595 0 0
0.016 0.0770066555 20000 1507.49157 0 0
0.018 0.0768426493 20000 1509.09945 0 0
0.02 0.0766316258 20000 1511.17585 0 0
0.022 0.0763669333 20000 1513.7925 0 0
0.024 0.0760435172 20000 1517.00819 0 0
0.026 0.0756589067 20000 1520.85915 0 0
0.028 0.0752141694 20000 1525.3489 0 0
0.03 0.0747146796 20000 1530.43911 0 0
0.032 0.0741705443 20000 1536.04271 0 0
0.034 0.0735965644 20000 1542.02088 0 0
0.036 0.0730116784 20000 1548.18501 0 0
0.038 0.0724379166 20000 1554.3043 0 0
0.04 0.0718989773 20000 1560.11879 0 0
0.042 0.0714185894 20000 1565.35697 0 0
0.044 0.0710188434 20000 1569.75627 0 0
0.046 0.0707186556 20000 1573.08441 0 0
0.048 0.0705324886 20000 1575.15908 0 0
0.05 0.0704694045 20000 1575.86396 0 0
0.052 0.0705324886 20000 1575.15908 0 0
0.054 0.0707186556 20000 1573.08441 0 0
0.056 0.0710188434 20000 1569.75627 0 0
0.058 0.0714185894 20000 1565.35697 0 0
0.06 0.0718989773 20000 1560.11879 0 0
0.062 0.0724379166 20000 1554.3043 0 0
0.064 0.0730116784 20000 1548.18501 0 0
0.066 0.0735965644 20000 1542.02088 0 0
0.068 0.0741705443 20000 1536.04271 0 0
0.07 0.0747146796 20000 1530.43911 0 0
0.072 0.0752141694 20000 1525.3489 0 0
0.074 0.0756589067 20000 1520.85915 0 0
0.076 0.0760435172 20000 1517.00819 0 0
0.078 0.0763669333 20000 1513.7925 0 0
0.08 0.0766316258 20000 1511.17585 0 0
0.082 0.0768426493 20000 1509.09945 0 0
0.084 0.0770066555 20000 1507.49157 0 0
0.086 0.077131 20000 1506.27595 0 0
0.088 0.0772230222 20000 1505.37822 0 0
0.09 0.0772895327 20000 1504.73036 0 0
0.092 0.0773365024 20000 1504.27335 0 0
0.094 0.077368925 20000 1503.95812 0 0
0.096 0.0773908088 20000 1503.74547 0 0
0.098 0.0774052556 20000 1503.60513 0 0
0.1 0.0774145857 20000 1503.51452 0 0
