# NASA TN D-5908 (Wieting 1970) Figure 6(a), w/d = 0.063 — 後壁 q_s/q_fp vs x/d
# 出典: papers/gap_heating/Wieting_1970_NASA-TN-D-5908_deep_cavities_hypersonic.pdf p.22 (PDF page 23)
# 取得: PyMuPDF 260 dpi 描画からの**目視読み取り** (2026-09-19)。軸: x/d 0-1.0 (主目盛 0.1), q_s/q_fp 0-2.0 (主目盛 0.4)
# 不確かさ: 絶対 ±0.02 (記号サイズ ~0.03)。x/d<0.05 は記号が重なるため ±0.05
# 記号: O = Re 5.84e6/m, □ = Re 7.61e6/m (両者の差は記号内)
x_over_d,q_over_qfp,note
0.010,0.55,"上端 2 記号の中央 (O 0.53 / □ 0.60)"
0.030,0.42,
0.050,0.34,
0.100,0.17,
0.150,0.10,
0.200,0.07,
0.300,0.05,
0.400,0.02,"以降は計測限界帯 (本文: q/q_fp<0.02 相当は精度に疑義)"
0.500,0.02,
0.750,0.02,
0.940,0.02,
