# NASA TN D-8233 (Throckmorton 1976) Figure 5(a) — Re_inf = 1.47e6 /m, 掃引角 0°
# すきま内の h/h_fp vs z/W (W = 2.29 mm, D = 45.7 mm, D/W = 20.0)
# 出典: papers/gap_heating/Throckmorton_1976_NASA-TN-D-8233_*.pdf p.16 (PDF page 17)
# 取得: PyMuPDF 200 dpi 描画からの目視読み取り (2026-09-20)。不確かさ 絶対 ±0.03
# solid = 黒塗り記号 (本文が「極端に低く精度に疑義」と明記) → 精度検証から除外する
# wall: down = 下流壁 (せん断層が当たる側), up = 上流壁
T_ratio,wall,z_over_W,h_over_hfp,solid
1.00,down,0.0,0.72,0
1.00,down,0.7,0.58,0
1.00,down,1.4,0.45,0
1.00,down,2.2,0.30,0
1.00,down,3.0,0.14,0
1.00,down,3.6,0.13,0
1.00,down,4.4,0.05,1
1.00,down,5.2,0.04,1
1.00,up,0.0,0.58,0
1.00,up,0.7,0.49,0
1.00,up,1.4,0.27,0
1.00,up,2.2,0.21,0
1.00,up,3.0,0.13,0
1.00,up,4.4,0.02,1
1.19,down,0.0,0.87,0
1.19,down,0.7,0.79,0
1.19,down,1.4,0.45,0
1.19,down,2.2,0.27,0
1.19,down,3.0,0.14,0
1.19,up,0.7,0.51,0
1.19,up,1.4,0.22,0
1.19,up,2.2,0.13,0
1.37,down,0.0,1.07,0
1.37,down,0.7,0.80,0
1.37,down,1.4,0.58,0
1.37,down,3.0,0.13,0
1.37,up,0.7,0.40,0
1.37,up,1.4,0.17,0
1.61,down,0.7,1.03,0
1.61,down,1.4,0.70,0
1.61,down,2.2,0.39,0
1.61,down,3.0,0.14,0
1.61,up,0.7,0.42,0
1.61,up,1.4,0.24,0
