x y z Ts
3.873700000e-03 1.218937000e-01 0.0 573.747288
4.186610000e-03 1.223824130e-01 0.0 574.184915
4.500190000e-03 1.228550220e-01 0.0 574.612644
4.811454000e-03 1.233074130e-01 0.0 575.026761
5.121989000e-03 1.237424850e-01 0.0 575.429866
5.437421000e-03 1.241682440e-01 0.0 575.829464
5.745698000e-03 1.245687450e-01 0.0 576.210608
6.051833000e-03 1.249516430e-01 0.0 576.580310
6.362902000e-03 1.253259340e-01 0.0 576.947333
6.674360000e-03 1.256861430e-01 0.0 577.293274
6.978946000e-03 1.260244760e-01 0.0 577.513197
7.287433000e-03 1.263536670e-01 0.0 577.731143
7.596404000e-03 1.266699310e-01 0.0 577.944738
7.905465000e-03 1.269733530e-01 0.0 578.153971
8.210366000e-03 1.272601820e-01 0.0 578.356200
8.516964000e-03 1.275364240e-01 0.0 578.555568
8.821880000e-03 1.277993130e-01 0.0 578.750060
9.124626000e-03 1.280490040e-01 0.0 578.695972
9.431305000e-03 1.282907040e-01 0.0 578.528130
9.733144000e-03 1.285177130e-01 0.0 578.365789
1.004027000e-02 1.287378390e-01 0.0 578.203366
1.034751100e-02 1.289475560e-01 0.0 578.043469
1.065121300e-02 1.291447960e-01 0.0 577.887810
1.095732800e-02 1.293334080e-01 0.0 577.733257
1.126226200e-02 1.295117490e-01 0.0 577.581413
1.157076300e-02 1.296823740e-01 0.0 577.430586
1.187745900e-02 1.298426670e-01 0.0 577.331586
1.218398600e-02 1.299936220e-01 0.0 577.233838
1.249603600e-02 1.301382410e-01 0.0 577.135446
1.280422800e-02 1.302720230e-01 0.0 577.039330
1.312497600e-02 1.304021910e-01 0.0 576.940302
1.344796500e-02 1.305243420e-01 0.0 576.841514
1.377031100e-02 1.306374570e-01 0.0 576.743785
1.410278100e-02 1.307455440e-01 0.0 576.643772
1.443931600e-02 1.308460640e-01 0.0 576.543293
1.477643500e-02 1.309381970e-01 0.0 576.386239
1.512018300e-02 1.310233260e-01 0.0 576.225064
1.546102000e-02 1.310992560e-01 0.0 576.066138
1.580614000e-02 1.311676170e-01 0.0 575.906013
1.615001000e-02 1.312273370e-01 0.0 575.747166
1.649150100e-02 1.312782040e-01 0.0 575.590029
1.683953800e-02 1.313216530e-01 0.0 575.430399
