x y z Ts
7.8169910000e-02 4.5110000000e-05 0.0000000000e+00 6.5098749816e+02
7.8168130000e-02 -1.1116000000e-04 0.0000000000e+00 6.5139580066e+02
7.8150760000e-02 -2.6643000000e-04 0.0000000000e+00 6.5189742552e+02
7.8118270000e-02 -4.1929000000e-04 0.0000000000e+00 6.5243858353e+02
7.8069960000e-02 -5.6790000000e-04 0.0000000000e+00 6.5293401491e+02
7.8008750000e-02 -7.1169000000e-04 0.0000000000e+00 6.5339512375e+02
7.7933460000e-02 -8.4866000000e-04 0.0000000000e+00 6.5381328428e+02
7.7847060000e-02 -9.7887000000e-04 0.0000000000e+00 6.5423606094e+02
7.7749300000e-02 -1.1008200000e-03 0.0000000000e+00 6.5467918889e+02
7.7641660000e-02 -1.2141000000e-03 0.0000000000e+00 6.5514004494e+02
7.7524880000e-02 -1.3179900000e-03 0.0000000000e+00 6.5559239437e+02
7.7399340000e-02 -1.4110600000e-03 0.0000000000e+00 6.5599175274e+02
7.7266640000e-02 -1.4936200000e-03 0.0000000000e+00 6.5633252853e+02
7.7126560000e-02 -1.5629200000e-03 0.0000000000e+00 6.5656188949e+02
7.6981130000e-02 -1.6201100000e-03 0.0000000000e+00 6.5667913853e+02
7.6830630000e-02 -1.6622300000e-03 0.0000000000e+00 6.5664726848e+02
7.6676900000e-02 -1.6901800000e-03 0.0000000000e+00 6.5649602929e+02
7.6521170000e-02 -1.7033900000e-03 0.0000000000e+00 6.5622817171e+02
7.6364920000e-02 -1.7023400000e-03 0.0000000000e+00 6.5587703452e+02
7.6209290000e-02 -1.6879000000e-03 0.0000000000e+00 6.5546094781e+02
7.6055690000e-02 -1.6590800000e-03 0.0000000000e+00 6.5500798087e+02
7.5904930000e-02 -1.6178800000e-03 0.0000000000e+00 6.5455317362e+02
7.5758820000e-02 -1.5623900000e-03 0.0000000000e+00 6.5408928316e+02
7.5617850000e-02 -1.4949600000e-03 0.0000000000e+00 6.5361478320e+02
7.5483790000e-02 -1.4146200000e-03 0.0000000000e+00 6.5309281891e+02
7.5357470000e-02 -1.3226500000e-03 0.0000000000e+00 6.5251723046e+02
7.5240040000e-02 -1.2195200000e-03 0.0000000000e+00 6.5185907800e+02
7.5133290000e-02 -1.1054100000e-03 0.0000000000e+00 6.5112421177e+02
7.5037430000e-02 -9.8199000000e-04 0.0000000000e+00 6.5048080489e+02
