x y z Ts
3.8737000432e-03 1.2189369649e-01 0.0000000000e+00 5.8388781738e+02
4.1892398149e-03 1.2238645554e-01 0.0000000000e+00 5.8509045410e+02
4.5069959015e-03 1.2286509573e-01 0.0000000000e+00 5.8633331299e+02
4.8259007744e-03 1.2332797796e-01 0.0000000000e+00 5.8757983398e+02
5.1450668834e-03 1.2377417833e-01 0.0000000000e+00 5.8882507324e+02
5.4640211165e-03 1.2420352548e-01 0.0000000000e+00 5.9006298828e+02
5.7826940902e-03 1.2461583316e-01 0.0000000000e+00 5.9126843262e+02
6.1008981429e-03 1.2501162291e-01 0.0000000000e+00 5.9244494629e+02
6.4185569063e-03 1.2539134920e-01 0.0000000000e+00 5.9359136963e+02
6.7357481457e-03 1.2575544417e-01 0.0000000000e+00 5.9470385742e+02
7.0525379851e-03 1.2610420585e-01 0.0000000000e+00 5.9576623535e+02
7.3688738048e-03 1.2643827498e-01 0.0000000000e+00 5.9678753662e+02
7.6848207973e-03 1.2675815821e-01 0.0000000000e+00 5.9777191162e+02
8.0004762858e-03 1.2706409395e-01 0.0000000000e+00 5.9870520020e+02
8.3159012720e-03 1.2735661864e-01 0.0000000000e+00 5.9959460449e+02
8.6311316118e-03 1.2763623893e-01 0.0000000000e+00 6.0043896484e+02
8.9462297037e-03 1.2790332735e-01 0.0000000000e+00 6.0124035645e+02
9.2613501474e-03 1.2815821171e-01 0.0000000000e+00 6.0199401855e+02
9.5766112208e-03 1.2840123475e-01 0.0000000000e+00 6.0270098877e+02
9.8920138553e-03 1.2863293290e-01 0.0000000000e+00 6.0337158203e+02
1.0207825340e-02 1.2885354459e-01 0.0000000000e+00 6.0399804688e+02
1.0524176061e-02 1.2906347215e-01 0.0000000000e+00 6.0458227539e+02
1.0841296054e-02 1.2926305830e-01 0.0000000000e+00 6.0512786865e+02
1.1159400456e-02 1.2945269048e-01 0.0000000000e+00 6.0564086914e+02
1.1478817090e-02 1.2963250279e-01 0.0000000000e+00 6.0611383057e+02
1.1799879372e-02 1.2980295718e-01 0.0000000000e+00 6.0654803467e+02
1.2122916989e-02 1.2996433675e-01 0.0000000000e+00 6.0695794678e+02
1.2448395602e-02 1.3011667132e-01 0.0000000000e+00 6.0731994629e+02
1.2776535004e-02 1.3026043773e-01 0.0000000000e+00 6.0766204834e+02
1.3107768260e-02 1.3039541245e-01 0.0000000000e+00 6.0796258545e+02
1.3442071155e-02 1.3052220643e-01 0.0000000000e+00 6.0824786377e+02
1.3779615983e-02 1.3064061105e-01 0.0000000000e+00 6.0850012207e+02
1.4120217413e-02 1.3075092435e-01 0.0000000000e+00 6.0873516846e+02
1.4463677071e-02 1.3085305691e-01 0.0000000000e+00 6.0894470215e+02
1.4809688553e-02 1.3094674051e-01 0.0000000000e+00 6.0912432861e+02
1.5157703310e-02 1.3103215396e-01 0.0000000000e+00 6.0928503418e+02
1.5507233329e-02 1.3110888004e-01 0.0000000000e+00 6.0941229248e+02
1.5857625753e-02 1.3117709756e-01 0.0000000000e+00 6.0951550293e+02
1.6208298504e-02 1.3123658299e-01 0.0000000000e+00 6.0958874512e+02
1.6558704898e-02 1.3128724694e-01 0.0000000000e+00 6.0963238525e+02
1.6908343881e-02 1.3132925332e-01 0.0000000000e+00 6.0965350342e+02
1.7256876454e-02 1.3136236370e-01 0.0000000000e+00 6.0963903809e+02
1.7604079098e-02 1.3138684630e-01 0.0000000000e+00 6.0960369873e+02
1.7949897796e-02 1.3140247762e-01 0.0000000000e+00 6.0953863525e+02
1.8294412643e-02 1.3140936196e-01 0.0000000000e+00 6.0944934082e+02
1.8637850881e-02 1.3140743971e-01 0.0000000000e+00 6.0933770752e+02
1.8980516121e-02 1.3139657676e-01 0.0000000000e+00 6.0920489502e+02
1.9322814420e-02 1.3137684762e-01 0.0000000000e+00 6.0905163574e+02
1.9665177912e-02 1.3134801388e-01 0.0000000000e+00 6.0887335205e+02
2.0008055493e-02 1.3131038845e-01 0.0000000000e+00 6.0868859863e+02
2.0351903513e-02 1.3126373291e-01 0.0000000000e+00 6.0848950195e+02
