step,physID,n,Tw_mean,Tw_min,Tw_max,dTw_max,res_abs_Wm2,res_max_W,res_rel,q_total,res_solid
0,5,480,5.8731278247e+02,5.2635567295e+02,6.5697242702e+02,1.0790991581e+00,1.1495805532e+07,1.7966727263e+03,8.9328196379e+00,4.5758104397e+04,2.1006398392e+03
50,5,480,5.8741531071e+02,5.2658783992e+02,6.5694325423e+02,2.5257599637e-01,6.5847273046e+03,6.1004293629e+00,3.0703835268e-02,4.4279262197e+04,1.5686568428e+01
100,5,480,5.8743081852e+02,5.2652509274e+02,6.5690591670e+02,1.1427804016e-01,3.9777592344e+03,1.9307408935e+00,9.7796337238e-03,4.3632256263e+04,4.9921483098e-01
150,5,480,5.8740826658e+02,5.2636601568e+02,6.5687297569e+02,2.0305505550e-01,5.3390344665e+03,3.0631728306e+00,1.5569016335e-02,4.3345962304e+04,9.2154002897e-03
200,5,480,5.8737182137e+02,5.2619117584e+02,6.5684502275e+02,1.9639294031e-01,4.6916259765e+03,3.3053747290e+00,1.6828760721e-02,4.3233969738e+04,1.8678094831e-02
250,5,480,5.8733339784e+02,5.2603647514e+02,6.5682022028e+02,1.6897787728e-01,3.8466025656e+03,2.8937977264e+00,1.4745991248e-02,4.3209548431e+04,2.9901614378e-02
300,5,480,5.8730051347e+02,5.2591404480e+02,6.5679935243e+02,1.3201825531e-01,2.9013113420e+03,2.2598995143e+00,1.1517376548e-02,4.3235327815e+04,4.0531964124e-02
350,5,480,5.8727305151e+02,5.2582856806e+02,6.5678032613e+02,9.3760879088e-02,2.0157742570e+03,1.5615018173e+00,7.9573502606e-03,4.3268482412e+04,4.9690282107e-02
400,5,480,5.8725029033e+02,5.2577422554e+02,6.5676563923e+02,6.7005217105e-02,1.3984272188e+03,1.0249938399e+00,5.2222204010e-03,4.3301246736e+04,5.7016051864e-02
450,5,480,5.8723293001e+02,5.2574327722e+02,6.5675507597e+02,4.1276829351e-02,8.2691787033e+02,6.5934148656e-01,3.3583770778e-03,4.3336753425e+04,6.2395186975e-02
500,5,480,5.8722086382e+02,5.2573284707e+02,6.5674821826e+02,2.4993010497e-02,5.5196635476e+02,5.0954519357e-01,2.5947524448e-03,4.3370711618e+04,6.5836067199e-02
550,5,480,5.8721332307e+02,5.2573575240e+02,6.5674405924e+02,1.8618083741e-02,4.2093900945e+02,3.8875286267e-01,1.9792647340e-03,4.3401427038e+04,4.5843430207e-03
600,5,480,5.8720976697e+02,5.2574761487e+02,6.5674246447e+02,1.3718644811e-02,3.1092824764e+02,2.8715382429e-01,1.4616692174e-03,4.3428048880e+04,5.2266475163e-03
650,5,480,5.8720915973e+02,5.2576344890e+02,6.5674198194e+02,1.7587794813e-02,3.7391315636e+02,3.1361054003e-01,1.5960968500e-03,4.3446768086e+04,6.1865939573e-03
700,5,480,5.8721039189e+02,5.2578091211e+02,6.5674125101e+02,1.9369631971e-02,4.2437948353e+02,3.4489498104e-01,1.7550762982e-03,4.3459424650e+04,6.9694163152e-03
750,5,480,5.8721270257e+02,5.2579931390e+02,6.5674033638e+02,2.0534372839e-02,4.5007126057e+02,3.6190049076e-01,1.8413164994e-03,4.3468366308e+04,7.3966169560e-03
800,5,480,5.8721610931e+02,5.2581711236e+02,6.5674036566e+02,2.0201417525e-02,4.3635605324e+02,3.5210123859e-01,1.7911667665e-03,4.3476263972e+04,7.6395374636e-03
850,5,480,5.8722012711e+02,5.2583361038e+02,6.5674095335e+02,1.9064284036e-02,4.0622885084e+02,3.2376785117e-01,1.6468272879e-03,4.3481675340e+04,7.6955184177e-03
900,5,480,5.8722430706e+02,5.2584831258e+02,6.5674207600e+02,1.6565070958e-02,3.4595992504e+02,2.9473353441e-01,1.4990702357e-03,4.3483699429e+04,7.5416562022e-03
950,5,480,5.8722829449e+02,5.2586095661e+02,6.5674460007e+02,1.4350164971e-02,2.9686034575e+02,2.5857555108e-01,1.3151156498e-03,4.3483401368e+04,7.2985954212e-03
1000,5,480,5.8723185137e+02,5.2587139334e+02,6.5674818694e+02,1.2201053691e-02,2.5066014017e+02,2.2071063190e-01,1.1224769476e-03,4.3481666088e+04,6.9950635926e-03
1050,5,480,5.8723491266e+02,5.2587905086e+02,6.5675162287e+02,9.6857023397e-03,1.9762712631e+02,1.6530189295e-01,8.4064808805e-04,4.3479233124e+04,6.8524113735e-03
1100,5,480,5.8723768999e+02,5.2588451437e+02,6.5675469749e+02,7.8382230507e-03,1.5853173156e+02,1.1900066465e-01,6.0517049918e-04,4.3478024385e+04,7.7051293210e-03
1150,5,480,5.8724029574e+02,5.2588849248e+02,6.5675764204e+02,6.4767028164e-03,1.2753595420e+02,9.3640934459e-02,4.7619801467e-04,4.3477263214e+04,8.3787551393e-03
1200,5,480,5.8724260133e+02,5.2589083674e+02,6.5676019251e+02,4.6304605689e-03,9.3768124799e+01,8.5922705424e-02,4.3694439537e-04,4.3475669592e+04,8.9365688513e-03
1250,5,480,5.8724448268e+02,5.2589193019e+02,6.5676182429e+02,3.4694107783e-03,8.2154773558e+01,7.6537619223e-02,3.8921700082e-04,4.3473204048e+04,9.3338778633e-03
1300,5,480,5.8724590846e+02,5.2589175163e+02,6.5676294842e+02,2.9084015704e-03,6.9447685774e+01,6.4848858412e-02,3.2978061271e-04,4.3470298915e+04,9.6007050428e-03
1350,5,480,5.8724686289e+02,5.2589074676e+02,6.5676406096e+02,2.4566091722e-03,5.8442359883e+01,5.3867915058e-02,2.7394430784e-04,4.3467632080e+04,9.7455995337e-03
1400,5,480,5.8724747634e+02,5.2588941078e+02,6.5676499606e+02,2.1233304847e-03,5.4711752694e+01,4.6614863475e-02,2.3706156552e-04,4.3465793691e+04,9.7613119482e-03
1450,5,480,5.8724790709e+02,5.2588761589e+02,6.5676580570e+02,2.0596727484e-03,5.7181215685e+01,4.8728487987e-02,2.4781847938e-04,4.3464583893e+04,9.6900469352e-03
1500,5,480,5.8724813056e+02,5.2588561462e+02,6.5676685162e+02,2.2063692576e-03,6.1775215332e+01,5.2416847144e-02,2.6658545971e-04,4.3463194868e+04,9.5717551443e-03
1550,5,480,5.8724812176e+02,5.2588333593e+02,6.5676822981e+02,2.6577543612e-03,7.3300070636e+01,5.6597827685e-02,2.8785337826e-04,4.3461615031e+04,9.4227626113e-03
1600,5,480,5.8724793138e+02,5.2588091371e+02,6.5676955019e+02,2.9467229035e-03,7.9447846781e+01,6.0051130695e-02,3.0542053943e-04,4.3460278395e+04,9.2253607558e-03
1650,5,480,5.8724758509e+02,5.2587833740e+02,6.5677053323e+02,3.0132843671e-03,7.9417343772e+01,6.1462823844e-02,3.1260858742e-04,4.3459057579e+04,9.0040699351e-03
1700,5,480,5.8724716279e+02,5.2587564562e+02,6.5677115764e+02,3.1380979716e-03,8.0743662736e+01,6.3362076378e-02,3.2227628787e-04,4.3458332186e+04,8.7688131229e-03
1750,5,480,5.8724675923e+02,5.2587324686e+02,6.5677131455e+02,2.8663787598e-03,7.4312568402e+01,5.9401544264e-02,3.0213429814e-04,4.3458316754e+04,8.5178170806e-03
1800,5,480,5.8724635499e+02,5.2587104629e+02,6.5677103452e+02,2.5996708301e-03,6.9016313611e+01,5.6542968270e-02,2.8759497395e-04,4.3458152076e+04,8.2842569663e-03
1850,5,480,5.8724587290e+02,5.2586888754e+02,6.5677049619e+02,2.6572463495e-03,7.0629330274e+01,5.5365584174e-02,2.8160870204e-04,4.3457503898e+04,8.0693627710e-03
1900,5,480,5.8724530747e+02,5.2586684174e+02,6.5677000473e+02,2.6537581017e-03,7.0546885090e+01,5.1521346448e-02,2.6205625999e-04,4.3456869080e+04,7.8518772706e-03
1950,5,480,5.8724471605e+02,5.2586489708e+02,6.5676972211e+02,2.6072270567e-03,6.7947300586e+01,4.9090406434e-02,2.4969115750e-04,4.3456609408e+04,7.6356493323e-03
2000,5,480,5.8724412604e+02,5.2586317880e+02,6.5676970076e+02,2.3854268649e-03,6.4013428232e+01,4.5417097826e-02,2.3100771837e-04,4.3456579033e+04,7.4270890931e-03
2050,5,480,5.8724359557e+02,5.2586166082e+02,6.5676992580e+02,2.1550766531e-03,5.7552006407e+01,4.7121288921e-02,2.3967694395e-04,4.3456791178e+04,7.2300289038e-03
2100,5,480,5.8723592909e+02,5.2583516410e+02,6.5676688048e+02,3.0790404881e-02,7.8723505898e+02,5.1722525879e-01,2.6322564517e-03,4.3402251652e+04,7.0503660381e-03
2150,5,480,5.8723074971e+02,5.2582312712e+02,6.5676676972e+02,1.3473579975e-02,2.9962954795e+02,2.3757432208e-01,1.2090041973e-03,4.3419015464e+04,5.0645079377e-03
2200,5,480,5.8722944468e+02,5.2582645249e+02,6.5676828638e+02,5.5221724787e-03,1.1329403275e+02,1.0552686374e-01,5.3690464970e-04,4.3447057408e+04,6.0468727665e-03
2250,5,480,5.8723145915e+02,5.2584004669e+02,6.5677052552e+02,1.4098643644e-02,3.1208607304e+02,2.5188518334e-01,1.2812356768e-03,4.3471572082e+04,6.5530447478e-03
2300,5,480,5.8723570296e+02,5.2585882115e+02,6.5677315958e+02,1.9454577910e-02,3.8912988318e+02,3.4686599200e-01,1.7639957966e-03,4.3488621199e+04,6.5633956769e-03
2350,5,480,5.8724106546e+02,5.2587834836e+02,6.5677620507e+02,2.0458434182e-02,4.0886490973e+02,3.6253137278e-01,1.8433520671e-03,4.3497858816e+04,6.1860314449e-03
2400,5,480,5.8724628895e+02,5.2589561420e+02,6.5677937914e+02,1.7983498437e-02,3.5563971952e+02,3.1472347682e-01,1.6001423069e-03,4.3499006316e+04,7.6821083084e-03
2450,5,480,5.8725104709e+02,5.2590797867e+02,6.5678283519e+02,1.3051323548e-02,2.6426657423e+02,2.3229262663e-01,1.1810128649e-03,4.3496610933e+04,9.1415265856e-03
2500,5,480,5.8725517822e+02,5.2591489498e+02,6.5678591342e+02,9.3234139833e-03,1.8599266787e+02,1.5652274624e-01,7.9580100529e-04,4.3492151837e+04,1.0292056760e-02
2550,5,480,5.8725830138e+02,5.2591698579e+02,6.5678838034e+02,6.3117989210e-03,1.3697426684e+02,1.2133711179e-01,6.1693508841e-04,4.3485423453e+04,1.1143719679e-02
2600,5,480,5.8726031700e+02,5.2591447083e+02,6.5679016604e+02,4.7743205163e-03,1.1193564950e+02,1.0426444655e-01,5.3015686997e-04,4.3477633824e+04,1.1602940323e-02
2650,5,480,5.8726114359e+02,5.2590822031e+02,6.5679108007e+02,6.6577836423e-03,1.5284817914e+02,1.3743391754e-01,6.9884865044e-04,4.3469208025e+04,1.1679015026e-02
