# c3x cooling holes — NASA CR-168015 Figure 7 (report p.16), ページ画像から転記
# U,V は FE モデルの翼弦座標系 [cm] (U=厚み方向, V=前縁→後縁)。D=直径 [cm]。
# Cr = 冷却孔 Nusselt 数の助走区間補正係数 (報告の処理手順)
# x_cm,y_cm は**図 7 の (U,V) 系の定義どおり**に置いたもの (2026-09-22 訂正): V 軸 = 圧力面側の共通接線 (前縁の膨らみと後縁に接する線)、
#   U 軸 = それに直交し前縁に接する線。この系で翼の V 方向の広がりは 14.540 cm = 表 IV の true chord 14.493 cm (+0.3 %)。
#   旧配置 (x_old,y_old) は「全孔が翼内に入り最小肉厚が最大になる剛体変換」の最適化で決めており、翼弦方向に 0.74 cm (孔間隔の約半分) 前縁側へずれていた。
hole,U_cm,V_cm,D_cm,Cr,x_cm,y_cm,x_old_cm,y_old_cm
1,2.377,1.311,0.630,1.118,2.0596,12.0088,1.5851,12.5954
2,1.057,1.534,0.630,1.118,1.0985,11.0769,0.6443,11.6431
3,1.981,3.119,0.630,1.118,2.7581,10.2948,2.3203,10.8968
4,1.981,4.674,0.630,1.118,3.6395,9.0137,3.2289,9.6348
5,1.869,6.182,0.630,1.118,4.4019,7.7078,4.0192,8.3456
6,1.666,7.747,0.630,1.118,5.1217,6.3034,4.7689,6.9570
7,1.412,9.235,0.630,1.118,5.7559,4.9336,5.4323,5.6010
8,1.087,10.759,0.310,1.056,6.3519,3.4938,6.0590,4.1744
9,0.737,12.253,0.310,1.056,6.9104,2.0646,6.6480,2.7575
10,0.345,13.757,0.198,1.025,7.4399,0.6033,7.2087,1.3079
