# c3x run108 (code 4411, M2=0.9) — NASA CR-168015 Appendix A, report p.164 (PDF p.170)
# 転記元はページ画像 (OCR は桁落ちするため使わない)。Tw = Tw_norm * 811.0 K
# 空欄 = スキャン (300 dpi 2 値) で判読不能。推測で埋めていない
# 並び: 正圧面 (後縁->前縁) のあと 負圧面 (前縁->後縁)
surface,s_over_S,x_over_bx,Tw_norm,Tw_K,h_norm
PS,0.8627,0.8656,0.7544,611.82,0.5614
PS,0.8341,0.8451,0.7223,585.79,0.4989
PS,0.7777,0.8034,0.7408,600.79,0.5721
PS,0.7485,0.7810,0.7018,569.16,0.4570
PS,0.7194,0.7582,0.6765,548.64,0.4001
PS,0.6918,0.7360,0.6937,562.59,0.5410
PS,0.6627,0.7121,0.6847,555.29,0.5426
PS,0.6337,0.6876,0.6505,527.56,0.4576
PS,0.6037,0.6616,0.6388,518.07,0.4421
PS,0.5765,0.6374,0.6537,530.15,0.4573
PS,0.5476,0.6110,0.6525,529.18,0.3710
PS,0.5194,0.5845,0.6425,521.07,0.3187
PS,0.4906,0.5567,0.6407,519.61,0.2878
PS,0.4343,0.5000,0.6412,520.01,0.3547
PS,0.4055,0.4697,0.6332,513.53,0.3373
PS,0.3766,0.4385,0.6320,512.55,0.3315
PS,0.3479,0.4066,0.6340,514.17,0.3329
PS,0.3193,0.3738,0.6345,514.58,0.3231
PS,0.2902,0.3394,0.6348,514.82,0.3128
PS,0.2617,0.3047,0.6370,516.61,0.3078
PS,0.2327,0.2685,0.6403,519.28,0.3159
PS,0.2045,0.2323,0.6418,520.50,0.3023
PS,0.1812,0.2016,0.6441,522.37,0.3147
PS,0.1585,0.1711,0.6461,523.99,0.3030
PS,0.1361,0.1405,0.6498,526.99,0.3118
PS,0.1135,0.1090,0.6579,533.56,0.3676
PS,0.0900,0.0757,0.6668,540.77,0.3234
PS,0.0681,0.0454,0.6833,554.16,0.4123
PS,0.0457,0.0211,0.6987,566.65,0.5458
PS,0.0222,0.0051,0.7054,572.08,0.5061
PS,0.0001,0.0000,0.7091,575.08,0.5260
SS,0.0184,0.0059,0.7087,574.76,0.5082
SS,0.0360,0.0213,0.7067,573.13,0.5018
SS,0.0534,0.0395,0.7061,572.65,0.4806
SS,0.0878,0.0835,0.7118,577.27,0.4992
SS,0.1057,0.1125,0.7137,578.81,0.4922
SS,0.1237,0.1463,0.7120,577.43,0.4439
SS,0.1412,0.1831,0.7109,576.54,0.4295
SS,0.1592,0.2233,0.7091,575.08,0.4156
SS,0.1765,0.2626,0.7082,574.35,0.4238
SS,0.1939,0.3010,0.7093,575.24,0.4603
SS,0.2116,0.3372,0.7128,578.08,0.5206
SS,0.2299,0.3714,0.7173,581.73,0.5707
SS,0.2477,0.4012,0.7221,585.62,0.6114
SS,0.2652,0.4274,0.7268,589.43,0.6432
SS,0.2829,0.4512,0.7303,592.27,0.6603
SS,0.3009,0.4732,0.7319,593.57,0.6639
SS,0.3184,0.4928,0.7330,594.46,0.6864
SS,0.3356,0.5109,0.7328,594.30,0.6995
SS,0.3533,0.5284,0.7321,593.73,0.7114
SS,0.3709,0.5452,0.7300,592.03,0.7030
SS,0.3884,0.5613,0.7286,590.89,0.7311
SS,0.4058,0.5769,0.7261,588.87,0.7507
SS,0.4236,0.5923,0.7223,585.79,0.7459
SS,0.4412,0.6072,0.7182,582.46,0.7315
SS,0.4585,0.6216,0.7162,580.84,0.7572
SS,0.4758,0.6357,0.7119,577.35,0.7351
SS,0.4936,0.6500,0.7077,573.94,0.7371
SS,0.5109,0.6636,0.7045,571.35,0.7594
SS,0.5285,0.6772,0.7007,568.27,0.7323
SS,0.5673,0.7068,0.7009,568.43,0.6903
SS,0.5891,0.7232,0.6958,564.29,0.6512
SS,0.6099,0.7387,0.6886,558.45,0.5896
SS,0.6310,0.7542,0.6900,559.59,0.6125
SS,0.6527,0.7701,0.6940,562.83,0.6778
SS,0.6736,0.7853,0.6893,559.02,0.7884
SS,0.6949,0.8006,0.6751,547.51,0.7617
SS,0.7169,0.8164,0.6813,552.53,0.6292
SS,0.7380,0.8315,0.7037,570.70,0.6967
SS,0.7598,0.8468,0.7103,576.05,0.6851
SS,0.7810,0.8617,0.7007,568.27,0.7078
SS,0.8016,0.8760,0.7103,576.05,0.5224
SS,0.8231,0.8907,0.7405,600.55,0.5691
SS,0.8440,0.9049,0.7534,611.01,0.7493
SS,0.8662,0.9196,0.7349,596.00,0.5608
