# C3X vane coordinates — NASA CR-168015 Table III (report p.12)
# R_LE = 1.168 cm (0.460 in), R_TE = 0.173 cm (0.068 in)
# 検証: 全点で cm == 2.54*in (相対 0.5%)。点 29 は報告の inch 値が誤植 (抽出スクリプト参照)
i,x_cm,y_cm
1,0.1097,11.6540
2,0.3894,12.1890
3,0.7658,12.6764
4,1.2723,13.0233
5,1.8743,13.1376
6,2.4707,12.9939
7,2.9835,12.6538
8,3.3985,12.1976
9,3.7376,11.6817
10,4.0272,11.1364
11,4.2885,10.5766
12,4.5326,10.0094
13,4.7648,9.4369
14,4.9870,8.8605
15,5.2019,8.2814
16,5.4110,7.7003
17,5.6157,7.1176
18,5.8171,6.5336
19,6.0160,5.9487
20,6.2126,5.3632
21,6.4074,4.7767
22,6.5997,4.1897
23,6.7894,3.6015
24,6.9756,3.0122
25,7.1575,2.4221
26,7.3335,1.8301
27,7.5024,1.2357
28,7.6624,0.6391
29,7.8115,0.0411
30,7.8161,-0.0053
31,7.8082,-0.0516
32,7.7879,-0.0935
33,7.7572,-0.1288
34,7.7180,-0.1542
35,7.6736,-0.1681
36,7.6269,-0.1699
37,7.5816,-0.1588
38,7.5408,-0.1356
39,7.5077,-0.1026
40,7.4849,-0.0617
41,7.3188,0.3559
42,7.1483,0.7737
43,6.9736,1.1895
44,6.7950,1.6035
45,6.6116,2.0155
46,6.4237,2.4254
47,6.2309,2.8329
48,6.0328,3.2380
49,5.8296,3.6406
50,5.6203,4.0401
51,5.4051,4.4364
52,5.1830,4.8290
53,4.9548,5.2177
54,4.7191,5.6020
55,4.4760,5.9817
56,4.2248,6.3564
57,3.9654,6.7249
58,3.6975,7.0874
59,3.4204,7.4430
60,3.1339,7.7909
61,2.8374,8.1308
62,2.5314,8.4615
63,2.2149,8.7826
64,1.8885,9.0935
65,1.5519,9.3932
66,1.2052,9.6815
67,0.8494,9.9578
68,0.4999,10.2116
69,0.3848,10.3035
70,0.2822,10.4094
71,0.1938,10.5273
72,0.1212,10.6556
73,0.0650,10.7920
74,0.0264,10.9342
75,0.0064,11.0802
76,0.0046,11.2278
77,0.0216,11.3741
78,0.0569,11.5171
