# C3X vane closed profile — NASA CR-168015 Table III (report p.12)
# R_LE = 1.168 cm (0.460 in), R_TE = 0.173 cm (0.068 in)
# 検証: 全点で cm == 2.54*in (相対 0.5%)。点 29 は報告の inch 値が誤植 (抽出スクリプト参照)
# 表の点 + R_LE / R_TE から復元した円弧 (メッシュ生成はこちらを使う)
i,x_cm,y_cm
1,0.10970,11.65400
2,0.38940,12.18900
3,0.76580,12.67640
4,1.27230,13.02330
5,1.87430,13.13760
6,2.47070,12.99390
7,2.98350,12.65380
8,3.39850,12.19760
9,3.73760,11.68170
10,4.02720,11.13640
11,4.28850,10.57660
12,4.53260,10.00940
13,4.76480,9.43690
14,4.98700,8.86050
15,5.20190,8.28140
16,5.41100,7.70030
17,5.61570,7.11760
18,5.81710,6.53360
19,6.01600,5.94870
20,6.21260,5.36320
21,6.40740,4.77670
22,6.59970,4.18970
23,6.78940,3.60150
24,6.97560,3.01220
25,7.15750,2.42210
26,7.33350,1.83010
27,7.50240,1.23570
28,7.66240,0.63910
29,7.81150,0.04110
30,7.81205,0.03192
31,7.81375,0.02309
32,7.81500,0.01418
33,7.81578,0.00522
34,7.81609,-0.00377
35,7.81594,-0.01276
36,7.81532,-0.02173
37,7.81423,-0.03066
38,7.81268,-0.03952
39,7.81067,-0.04829
40,7.80821,-0.05694
41,7.80530,-0.06546
42,7.80196,-0.07380
43,7.79818,-0.08197
44,7.79399,-0.08993
45,7.78939,-0.09765
46,7.78439,-0.10513
47,7.77901,-0.11234
48,7.77326,-0.11926
49,7.76716,-0.12587
50,7.76073,-0.13216
51,7.75397,-0.13810
52,7.74692,-0.14368
53,7.73959,-0.14889
54,7.73200,-0.15371
55,7.72416,-0.15813
56,7.71611,-0.16214
57,7.70786,-0.16572
58,7.69943,-0.16887
59,7.69085,-0.17158
60,7.68215,-0.17384
61,7.67333,-0.17564
62,7.66444,-0.17698
63,7.65549,-0.17786
64,7.64650,-0.17827
65,7.63751,-0.17821
66,7.62853,-0.17769
67,7.61959,-0.17669
68,7.61071,-0.17524
69,7.60192,-0.17333
70,7.59324,-0.17096
71,7.58470,-0.16814
72,7.57632,-0.16489
73,7.56811,-0.16120
74,7.56011,-0.15709
75,7.55233,-0.15258
76,7.54480,-0.14766
77,7.53753,-0.14236
78,7.53055,-0.13668
79,7.52387,-0.13066
80,7.51752,-0.12429
81,7.51151,-0.11760
82,7.50585,-0.11061
83,7.50056,-0.10333
84,7.49566,-0.09579
85,7.49115,-0.08801
86,7.48706,-0.08000
87,7.48339,-0.07179
88,7.48490,-0.06170
89,7.31880,0.35590
90,7.14830,0.77370
91,6.97360,1.18950
92,6.79500,1.60350
93,6.61160,2.01550
94,6.42370,2.42540
95,6.23090,2.83290
96,6.03280,3.23800
97,5.82960,3.64060
98,5.62030,4.04010
99,5.40510,4.43640
100,5.18300,4.82900
101,4.95480,5.21770
102,4.71910,5.60200
103,4.47600,5.98170
104,4.22480,6.35640
105,3.96540,6.72490
106,3.69750,7.08740
107,3.42040,7.44300
108,3.13390,7.79090
109,2.83740,8.13080
110,2.53140,8.46150
111,2.21490,8.78260
112,1.88850,9.09350
113,1.55190,9.39320
114,1.20520,9.68150
115,0.84940,9.95780
116,0.49990,10.21160
117,0.50548,10.26906
118,0.48344,10.28478
119,0.46177,10.30101
120,0.44049,10.31773
121,0.41959,10.33494
122,0.39910,10.35263
123,0.37903,10.37079
124,0.35938,10.38941
125,0.34017,10.40848
126,0.32141,10.42799
127,0.30310,10.44793
128,0.28526,10.46829
129,0.26790,10.48906
130,0.25102,10.51022
131,0.23464,10.53177
132,0.21876,10.55369
133,0.20340,10.57598
134,0.18855,10.59862
135,0.17424,10.62159
136,0.16045,10.64489
137,0.14722,10.66850
138,0.13453,10.69241
139,0.12240,10.71661
140,0.11084,10.74109
141,0.09985,10.76582
142,0.08943,10.79081
143,0.07959,10.81603
144,0.07034,10.84147
145,0.06169,10.86711
146,0.05363,10.89296
147,0.04617,10.91898
148,0.03931,10.94516
149,0.03307,10.97150
150,0.02743,10.99798
151,0.02242,11.02458
152,0.01801,11.05129
153,0.01423,11.07809
154,0.01108,11.10498
155,0.00854,11.13193
156,0.00663,11.15893
157,0.00535,11.18597
158,0.00469,11.21303
159,0.00466,11.24010
160,0.00526,11.26716
161,0.00649,11.29420
162,0.00834,11.32121
163,0.01082,11.34816
164,0.01392,11.37506
165,0.01764,11.40187
166,0.02199,11.42859
167,0.02695,11.45520
168,0.03253,11.48168
169,0.03872,11.50804
170,0.04552,11.53424
171,0.05292,11.56027
172,0.06093,11.58613
173,0.06953,11.61180
174,0.07872,11.63726
