# c3x vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_c3x_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.01040 cm / 折れ角 max 3.78° / R_LE 1.179 R_TE 0.188 cm
i,x_cm,y_cm
1,0.38737,12.18937
2,0.39271,12.19784
3,0.39807,12.20629
4,0.40346,12.21472
5,0.40887,12.22314
6,0.41430,12.23154
7,0.41976,12.23993
8,0.42524,12.24830
9,0.43075,12.25666
10,0.43628,12.26500
11,0.44183,12.27333
12,0.44741,12.28164
13,0.45301,12.28993
14,0.45864,12.29820
15,0.46429,12.30646
16,0.46997,12.31470
17,0.47568,12.32292
18,0.48141,12.33112
19,0.48717,12.33931
20,0.49295,12.34748
21,0.49876,12.35563
22,0.50459,12.36375
23,0.51046,12.37186
24,0.51635,12.37995
25,0.52227,12.38802
26,0.52821,12.39607
27,0.53418,12.40410
28,0.54019,12.41211
29,0.54621,12.42010
30,0.55227,12.42807
31,0.55836,12.43601
32,0.56447,12.44393
33,0.57062,12.45183
34,0.57679,12.45971
35,0.58299,12.46756
36,0.58922,12.47539
37,0.59548,12.48320
38,0.60177,12.49098
39,0.60810,12.49874
40,0.61445,12.50647
41,0.62083,12.51418
42,0.62724,12.52187
43,0.63368,12.52952
44,0.64016,12.53715
45,0.64666,12.54476
46,0.65320,12.55233
47,0.65977,12.55988
48,0.66637,12.56741
49,0.67300,12.57490
50,0.67967,12.58237
51,0.68636,12.58980
52,0.69309,12.59721
53,0.69986,12.60459
54,0.70665,12.61193
55,0.71348,12.61925
56,0.72034,12.62654
57,0.72723,12.63379
58,0.73416,12.64101
59,0.74112,12.64820
60,0.74812,12.65536
61,0.75514,12.66248
62,0.76221,12.66957
63,0.76930,12.67663
64,0.77643,12.68365
65,0.78360,12.69063
66,0.79080,12.69758
67,0.79803,12.70450
68,0.80530,12.71138
69,0.81261,12.71822
70,0.81995,12.72502
71,0.82732,12.73179
72,0.83473,12.73851
73,0.84218,12.74520
74,0.84966,12.75185
75,0.85717,12.75846
76,0.86472,12.76502
77,0.87231,12.77155
78,0.87993,12.77803
79,0.88759,12.78448
80,0.89528,12.79088
81,0.90301,12.79723
82,0.91078,12.80355
83,0.91858,12.80981
84,0.92641,12.81604
85,0.93429,12.82222
86,0.94219,12.82835
87,0.95014,12.83444
88,0.95812,12.84047
89,0.96613,12.84647
90,0.97418,12.85241
91,0.98227,12.85830
92,0.99039,12.86415
93,0.99855,12.86995
94,1.00675,12.87569
95,1.01497,12.88139
96,1.02324,12.88703
97,1.03154,12.89262
98,1.03987,12.89816
99,1.04824,12.90365
100,1.05665,12.90908
101,1.06509,12.91446
102,1.07356,12.91978
103,1.08207,12.92505
104,1.09061,12.93026
105,1.09919,12.93542
106,1.10780,12.94052
107,1.11644,12.94556
108,1.12512,12.95055
109,1.13383,12.95547
110,1.14257,12.96034
111,1.15135,12.96515
112,1.16016,12.96990
113,1.16900,12.97459
114,1.17787,12.97921
115,1.18678,12.98378
116,1.19571,12.98828
117,1.20468,12.99273
118,1.21368,12.99711
119,1.22271,13.00142
120,1.23177,13.00568
121,1.24085,13.00986
122,1.24997,13.01399
123,1.25912,13.01805
124,1.26829,13.02205
125,1.27750,13.02598
126,1.28673,13.02984
127,1.29599,13.03364
128,1.30527,13.03737
129,1.31458,13.04104
130,1.32392,13.04465
131,1.33328,13.04818
132,1.34266,13.05166
133,1.35207,13.05507
134,1.36150,13.05841
135,1.37096,13.06169
136,1.38044,13.06490
137,1.38994,13.06805
138,1.39946,13.07114
139,1.40900,13.07416
140,1.41856,13.07711
141,1.42814,13.08000
142,1.43774,13.08283
143,1.44736,13.08559
144,1.45700,13.08828
145,1.46665,13.09091
146,1.47632,13.09348
147,1.48602,13.09597
148,1.49572,13.09841
149,1.50545,13.10078
150,1.51518,13.10308
151,1.52494,13.10532
152,1.53471,13.10749
153,1.54449,13.10959
154,1.55429,13.11163
155,1.56410,13.11360
156,1.57392,13.11551
157,1.58376,13.11735
158,1.59361,13.11912
159,1.60347,13.12083
160,1.61334,13.12247
161,1.62323,13.12404
162,1.63312,13.12554
163,1.64302,13.12698
164,1.65294,13.12834
165,1.66286,13.12964
166,1.67279,13.13087
167,1.68273,13.13203
168,1.69268,13.13313
169,1.70263,13.13415
170,1.71259,13.13510
171,1.72256,13.13598
172,1.73254,13.13680
173,1.74252,13.13754
174,1.75250,13.13821
175,1.76249,13.13881
176,1.77249,13.13933
177,1.78248,13.13979
178,1.79248,13.14017
179,1.80248,13.14048
180,1.81249,13.14071
181,1.82250,13.14088
