# markii cooling holes — NASA CR-168015 Figure 6 (report p.15), ページ画像から転記
# U,V は FE モデルの翼弦座標系 [cm] (U=厚み方向, V=前縁→後縁)。D=直径 [cm]。
# Cr = 冷却孔 Nusselt 数の助走区間補正係数 (報告の処理手順)
# x_cm,y_cm は**図 6 の (U,V) 系の定義どおり**に置いたもの (2026-09-22 訂正): V 軸 = 圧力面側の共通接線、U 軸 = それに直交し前縁に接する線。
#   この系で翼の V 方向の広がりは 13.482 cm (表 IV の true chord 13.622 cm に対し −1.0 %)。旧配置 (x_old,y_old) は最小肉厚を最大にする剛体変換の最適化で、0.23 cm ずれていた。
hole,U_cm,V_cm,D_cm,Cr,x_cm,y_cm,x_old_cm,y_old_cm
1,1.448,0.711,0.630,1.118,1.1256,11.4687,0.9326,11.6214
2,1.016,1.930,0.630,1.118,1.3937,10.2035,1.2163,10.3597
3,2.083,1.854,0.630,1.118,2.2640,10.8255,2.0788,10.9924
4,1.676,3.556,0.630,1.118,2.8056,9.1614,2.6410,9.3351
5,1.524,5.182,0.630,1.118,3.5249,7.6953,3.3785,7.8781
6,1.397,6.807,0.630,1.118,4.2651,6.2431,4.1367,6.4351
7,1.143,8.433,0.630,1.118,4.8975,4.7237,4.7878,4.9237
8,0.864,9.957,0.310,1.056,5.4553,3.2783,5.3635,3.4853
9,0.635,11.303,0.310,1.056,5.9627,2.0107,5.8867,2.2242
10,0.381,12.497,0.198,1.025,6.3696,0.8598,6.3078,1.0784
