# Mark II run42 (code 5411, M2=1.04) — NASA CR-168015 Appendix A, report p.144 (PDF p.150)
# 転記元はページ画像 (OCR は桁落ちするため使わない)。Tw = Tw_norm * 811.0 K
# 空欄 = スキャン (300 dpi 2 値) で判読不能。推測で埋めていない
# 並び: 正圧面 (後縁->前縁) のあと 負圧面 (前縁->後縁)
surface,s_over_S,x_over_bx,Tw_norm,Tw_K,h_norm
PS,0.8969,0.8741,0.7314,593.17,0.4714
PS,0.8671,0.8523,0.7221,585.62,0.5032
PS,0.8385,0.8311,0.6807,552.05,0.4994
PS,0.8080,0.8080,0.7048,571.59,0.4200
PS,0.7791,0.7859,0.7104,576.13,0.5829
PS,0.7499,0.7631,0.6732,545.97,0.3692
PS,0.7210,0.7403,0.6497,526.91,0.3804
PS,0.6918,0.7168,0.6681,541.83,0.4179
PS,0.6626,0.6930,0.6594,534.77,0.3902
PS,0.6334,0.6687,0.6259,507.60,
PS,0.6043,0.6441,0.6088,493.74,
PS,0.5732,0.6174,0.6313,511.98,0.4412
PS,0.5460,0.5937,0.6386,517.90,0.4138
PS,0.5162,0.5671,0.6228,505.09,0.4144
PS,0.4871,0.5407,0.6048,490.49,0.3385
PS,0.4580,0.5137,0.6118,496.17,0.3276
PS,0.4286,0.4857,0.6239,505.98,0.3818
PS,0.3996,0.4575,0.6180,501.20,0.3020
PS,0.3112,0.3664,0.6156,499.25,0.2992
PS,0.2821,0.3341,0.6116,496.01,0.2814
PS,0.2529,0.3004,0.6043,490.09,0.2914
PS,0.2235,0.2651,0.5989,485.71,0.3109
PS,0.1935,0.2267,0.5939,481.65,0.2992
PS,0.1651,0.1879,0.5908,479.14,0.3230
PS,0.1359,0.1451,,,0.2837
PS,0.1062,0.0976,,,0.3595
PS,0.0818,0.0603,0.6505,527.56,
PS,0.0567,0.0298,0.6718,544.83,
PS,0.0322,0.0097,0.6862,556.51,
PS,0.0077,0.0005,0.6945,563.24,0.5919
SS,0.0135,0.0026,0.6954,563.97,0.6115
SS,0.0323,0.0149,0.6906,560.08,0.5828
SS,0.0527,0.0387,0.6821,553.18,0.5860
SS,0.0718,0.0697,0.6713,544.42,0.5919
SS,0.0923,0.1102,0.6572,532.99,0.5593
SS,0.1521,0.2466,0.6257,507.44,0.3872
SS,0.1718,0.2907,0.6231,505.33,0.4022
SS,0.1918,0.3323,0.6171,500.47,0.3908
SS,0.2123,0.3702,0.6060,491.47,0.3432
SS,0.2318,0.4001,0.5933,481.17,0.2899
SS,0.2516,0.4238,0.5803,470.62,0.2196
SS,0.2714,0.4441,0.5862,475.41,0.2751
SS,0.2907,0.4624,0.5985,485.38,0.2751
SS,0.3107,0.4811,0.6214,503.96,0.4202
SS,0.3306,0.4996,0.6428,521.31,0.5856
SS,0.3503,0.5176,0.6540,530.39,0.5756
SS,0.3699,0.5355,0.6692,542.72,0.6938
SS,0.3903,0.5538,0.6801,551.56,0.7093
SS,0.4064,0.5681,0.6867,556.91,
SS,0.4297,0.5885,0.6884,558.29,
SS,0.4694,0.6228,0.6797,551.24,0.7383
SS,0.4889,0.6392,0.6796,551.16,0.7258
SS,0.5281,0.6718,0.6799,551.40,0.7224
SS,0.5479,0.6879,0.6712,544.34,0.7102
SS,0.5674,0.7036,0.6634,538.02,0.7118
SS,0.5909,0.7222,0.6699,543.29,0.8284
SS,0.6384,0.7590,0.6727,545.56,0.7041
SS,0.6623,0.7771,0.6566,532.50,0.6391
SS,0.6862,0.7948,0.6607,535.83,0.7618
SS,0.7104,0.8125,0.6832,554.08,0.7181
SS,0.7337,0.8292,0.6958,564.29,0.6440
SS,0.7570,0.8457,0.6901,559.67,0.6236
SS,0.7800,0.8617,0.6858,556.18,0.5950
SS,0.8050,0.8788,0.7079,574.11,0.5420
SS,0.8281,0.8942,0.7222,585.70,0.6620
SS,0.8518,0.9098,0.7080,574.19,0.4648
SS,0.8750,0.9248,0.7145,579.46,0.5339
SS,0.8995,0.9403,0.7363,597.14,0.5477
