# Mark II vane coordinates — NASA CR-168015 Table II (report p.11)
# R_LE = 1.280 cm (0.504 in), R_TE = 0.000 (blunt)
# 検証: 全点で cm == 2.54*in (相対 0.5%)
i,x_cm,y_cm
1,0.0000,10.8943
2,1.0310,12.1521
3,1.4006,12.1844
4,1.9025,12.1067
5,2.3584,11.8803
6,2.7259,11.5262
7,2.9812,11.0833
8,3.1923,10.6175
9,3.3978,10.1491
10,3.5994,9.6794
11,3.7976,9.2083
12,3.9919,8.7356
13,4.1824,8.2616
14,4.3688,7.7866
15,4.5517,7.3101
16,4.7301,6.8326
17,4.9063,6.3538
18,5.0777,5.8740
19,5.2456,5.3929
20,5.4099,4.9113
21,5.5702,4.4282
22,5.7269,3.9444
23,5.8801,3.4597
24,6.0295,2.9741
25,6.1750,2.4877
26,6.3170,2.0050
27,6.4554,1.5128
28,6.5900,1.0244
29,6.7211,0.5354
30,6.8483,0.0467
31,6.8544,0.0000
32,6.4912,-0.0686
33,6.3409,0.3119
34,6.1874,0.6927
35,6.0315,1.0729
36,5.8727,1.4521
37,5.7112,1.8306
38,5.5466,2.2080
39,5.3792,2.5845
40,5.2090,2.9594
41,5.0358,3.3345
42,4.8593,3.7076
43,4.6797,4.0792
44,4.4961,4.4498
45,4.3104,4.8186
46,4.1201,5.1859
47,3.9258,5.5512
48,3.7275,5.9144
49,3.5240,6.2748
50,3.3157,6.6327
51,3.1016,6.9873
52,2.8809,7.3378
53,2.6528,7.6838
54,2.4158,8.0239
55,2.1687,8.3541
56,1.9088,8.6792
57,1.6337,8.9891
58,1.3396,9.2809
59,1.0208,9.5456
60,0.6744,9.7666
