# Mark II vane closed profile — NASA CR-168015 Table II (report p.11)
# R_LE = 1.280 cm (0.504 in), R_TE = 0.000 (blunt)
# 検証: 全点で cm == 2.54*in (相対 0.5%)
# 表の点 + R_LE / R_TE から復元した円弧 (メッシュ生成はこちらを使う)
i,x_cm,y_cm
1,1.40060,12.18440
2,1.90250,12.10670
3,2.35840,11.88030
4,2.72590,11.52620
5,2.98120,11.08330
6,3.19230,10.61750
7,3.39780,10.14910
8,3.59940,9.67940
9,3.79760,9.20830
10,3.99190,8.73560
11,4.18240,8.26160
12,4.36880,7.78660
13,4.55170,7.31010
14,4.73010,6.83260
15,4.90630,6.35380
16,5.07770,5.87400
17,5.24560,5.39290
18,5.40990,4.91130
19,5.57020,4.42820
20,5.72690,3.94440
21,5.88010,3.45970
22,6.02950,2.97410
23,6.17500,2.48770
24,6.31700,2.00500
25,6.45540,1.51280
26,6.59000,1.02440
27,6.72110,0.53540
28,6.84830,0.04670
29,6.85440,0.00000
30,6.49120,-0.06860
31,6.34090,0.31190
32,6.18740,0.69270
33,6.03150,1.07290
34,5.87270,1.45210
35,5.71120,1.83060
36,5.54660,2.20800
37,5.37920,2.58450
38,5.20900,2.95940
39,5.03580,3.33450
40,4.85930,3.70760
41,4.67970,4.07920
42,4.49610,4.44980
43,4.31040,4.81860
44,4.12010,5.18590
45,3.92580,5.55120
46,3.72750,5.91440
47,3.52400,6.27480
48,3.31570,6.63270
49,3.10160,6.98730
50,2.88090,7.33780
51,2.65280,7.68380
52,2.41580,8.02390
53,2.16870,8.35410
54,1.90880,8.67920
55,1.63370,8.98910
56,1.33960,9.28090
57,1.02080,9.54560
58,0.67440,9.76660
59,0.62268,9.79597
60,0.57236,9.82770
61,0.52357,9.86172
62,0.47642,9.89798
63,0.43100,9.93639
64,0.38741,9.97686
65,0.34576,10.01932
66,0.30611,10.06367
67,0.26858,10.10981
68,0.23322,10.15765
69,0.20013,10.20707
70,0.16937,10.25798
71,0.14101,10.31027
72,0.11510,10.36381
73,0.09172,10.41850
74,0.07090,10.47422
75,0.05269,10.53085
76,0.03713,10.58826
77,0.02425,10.64633
78,0.01409,10.70493
79,0.00665,10.76395
80,0.00197,10.82325
81,0.00005,10.88270
82,0.00090,10.94217
83,0.00450,11.00155
84,0.01086,11.06069
85,0.01996,11.11947
86,0.03178,11.17776
87,0.04630,11.23545
88,0.06348,11.29239
89,0.08329,11.34848
90,0.10568,11.40358
91,0.13061,11.45759
92,0.15802,11.51038
93,0.18785,11.56184
94,0.22004,11.61186
95,0.25452,11.66033
96,0.29122,11.70714
97,0.33005,11.75220
98,0.37093,11.79540
99,0.41377,11.83666
100,0.45849,11.87589
101,0.50498,11.91300
102,0.55314,11.94790
103,0.60287,11.98053
104,0.65407,12.01082
105,0.70661,12.03869
106,0.76040,12.06409
107,0.81530,12.08697
108,0.87121,12.10727
109,0.92801,12.12495
110,0.98556,12.13997
111,1.04375,12.15231
112,1.10245,12.16193
113,1.16153,12.16881
114,1.22087,12.17293
115,1.28034,12.17430
116,1.33980,12.17290
