# markii vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_markii_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.00842 cm / 折れ角 max 79.32° / R_LE 1.279 R_TE 0.018 cm
i,x_cm,y_cm
1,6.49120,-0.06860
2,6.48787,-0.06009
3,6.48454,-0.05158
4,6.48120,-0.04307
5,6.47787,-0.03456
6,6.47453,-0.02605
7,6.47119,-0.01754
8,6.46785,-0.00903
9,6.46451,-0.00052
10,6.46117,0.00799
11,6.45783,0.01650
12,6.45449,0.02500
13,6.45114,0.03351
14,6.44780,0.04201
15,6.44445,0.05052
16,6.44110,0.05903
17,6.43775,0.06753
18,6.43440,0.07603
19,6.43105,0.08454
20,6.42769,0.09304
21,6.42434,0.10154
22,6.42098,0.11005
23,6.41763,0.11855
24,6.41427,0.12705
25,6.41091,0.13555
26,6.40755,0.14405
27,6.40419,0.15255
28,6.40082,0.16105
29,6.39746,0.16955
30,6.39409,0.17805
31,6.39073,0.18654
32,6.38736,0.19504
33,6.38399,0.20354
34,6.38062,0.21203
35,6.37725,0.22053
36,6.37388,0.22903
37,6.37050,0.23752
38,6.36713,0.24602
39,6.36375,0.25451
40,6.36037,0.26300
41,6.35699,0.27150
42,6.35361,0.27999
43,6.35023,0.28848
44,6.34685,0.29697
45,6.34347,0.30546
46,6.34008,0.31395
47,6.33669,0.32244
48,6.33331,0.33093
49,6.32992,0.33942
50,6.32653,0.34791
51,6.32314,0.35640
52,6.31974,0.36489
53,6.31635,0.37337
54,6.31296,0.38186
55,6.30956,0.39035
56,6.30616,0.39883
57,6.30276,0.40732
58,6.29936,0.41580
59,6.29596,0.42429
60,6.29256,0.43277
61,6.28916,0.44125
62,6.28575,0.44974
63,6.28235,0.45822
64,6.27894,0.46670
65,6.27553,0.47518
66,6.27212,0.48366
67,6.26871,0.49214
68,6.26530,0.50062
69,6.26188,0.50910
70,6.25847,0.51758
71,6.25505,0.52606
72,6.25164,0.53453
73,6.24822,0.54301
74,6.24480,0.55149
75,6.24138,0.55996
76,6.23796,0.56844
77,6.23453,0.57692
78,6.23111,0.58539
79,6.22768,0.59386
80,6.22425,0.60234
81,6.22083,0.61081
82,6.21740,0.61928
83,6.21396,0.62776
84,6.21053,0.63623
85,6.20710,0.64470
86,6.20366,0.65317
87,6.20023,0.66164
88,6.19679,0.67011
89,6.19335,0.67858
90,6.18991,0.68705
91,6.18647,0.69551
92,6.18303,0.70398
93,6.17958,0.71245
94,6.17614,0.72091
95,6.17269,0.72938
96,6.16925,0.73785
97,6.16580,0.74631
98,6.16235,0.75478
99,6.15890,0.76324
100,6.15544,0.77170
101,6.15199,0.78017
102,6.14853,0.78863
103,6.14508,0.79709
104,6.14162,0.80555
105,6.13816,0.81401
106,6.13470,0.82247
107,6.13124,0.83093
108,6.12778,0.83939
109,6.12431,0.84785
110,6.12085,0.85631
111,6.11738,0.86476
112,6.11391,0.87322
113,6.11044,0.88168
114,6.10697,0.89013
115,6.10350,0.89859
116,6.10003,0.90704
117,6.09655,0.91550
118,6.09308,0.92395
119,6.08960,0.93241
120,6.08612,0.94086
121,6.08264,0.94931
122,6.07916,0.95776
123,6.07568,0.96621
124,6.07220,0.97467
125,6.06871,0.98312
126,6.06523,0.99156
127,6.06174,1.00001
128,6.05825,1.00846
129,6.05476,1.01691
130,6.05127,1.02536
131,6.04778,1.03381
132,6.04428,1.04225
133,6.04079,1.05070
134,6.03729,1.05914
135,6.03380,1.06759
136,6.03030,1.07603
137,6.02680,1.08448
138,6.02330,1.09292
139,6.01979,1.10136
140,6.01629,1.10980
141,6.01278,1.11825
142,6.00928,1.12669
143,6.00577,1.13513
144,6.00226,1.14357
145,5.99875,1.15201
146,5.99524,1.16045
147,5.99172,1.16888
148,5.98821,1.17732
149,5.98469,1.18576
150,5.98118,1.19420
151,5.97766,1.20263
152,5.97414,1.21107
153,5.97062,1.21950
154,5.96709,1.22794
155,5.96357,1.23637
156,5.96005,1.24480
157,5.95652,1.25324
158,5.95299,1.26167
159,5.94946,1.27010
160,5.94593,1.27853
161,5.94240,1.28696
162,5.93887,1.29539
163,5.93533,1.30382
164,5.93180,1.31225
165,5.92826,1.32068
166,5.92472,1.32911
167,5.92118,1.33753
168,5.91764,1.34596
169,5.91410,1.35439
170,5.91056,1.36281
171,5.90701,1.37124
172,5.90346,1.37966
173,5.89992,1.38809
174,5.89637,1.39651
175,5.89282,1.40493
176,5.88927,1.41336
177,5.88571,1.42178
178,5.88216,1.43020
179,5.87860,1.43862
180,5.87505,1.44704
181,5.87149,1.45546
182,5.86793,1.46388
183,5.86437,1.47230
184,5.86081,1.48071
185,5.85724,1.48913
186,5.85368,1.49755
187,5.85011,1.50596
188,5.84654,1.51438
189,5.84298,1.52279
190,5.83941,1.53121
191,5.83583,1.53962
192,5.83226,1.54804
193,5.82869,1.55645
194,5.82511,1.56486
195,5.82153,1.57327
196,5.81796,1.58168
197,5.81438,1.59009
198,5.81080,1.59850
199,5.80721,1.60691
200,5.80363,1.61532
201,5.80004,1.62373
202,5.79646,1.63214
203,5.79287,1.64054
204,5.78928,1.64895
205,5.78569,1.65735
206,5.78210,1.66576
207,5.77851,1.67416
208,5.77491,1.68257
209,5.77132,1.69097
210,5.76772,1.69937
211,5.76412,1.70778
212,5.76052,1.71618
213,5.75692,1.72458
214,5.75332,1.73298
215,5.74971,1.74138
216,5.74611,1.74978
217,5.74250,1.75818
218,5.73889,1.76658
219,5.73528,1.77497
220,5.73167,1.78337
221,5.72806,1.79177
222,5.72445,1.80016
223,5.72083,1.80856
224,5.71721,1.81695
225,5.71360,1.82535
226,5.70998,1.83374
227,5.70636,1.84213
228,5.70274,1.85053
229,5.69911,1.85892
230,5.69549,1.86731
231,5.69186,1.87570
232,5.68823,1.88409
233,5.68461,1.89248
234,5.68098,1.90087
235,5.67734,1.90926
236,5.67371,1.91764
